cell,role,deep_R,deep_G,deep_B,web_minus_native_R,web_minus_native_G,web_minus_native_B,width_device_px,line_excess_G,last_ramp_excess_G
apple-macos-27.0-2x-light-standard-glass0.5/grey-128__circular-120__inactive,calibration,188.0,188.0,188.0,4.0,4.0,4.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-128__circular-120__rest,calibration,195.0,195.0,195.0,8.0,8.0,8.0,2,"[18.0, 31.0]",5.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-160__circular-120__inactive,calibration,202.0,202.0,201.0,3.0,3.0,4.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-160__circular-120__rest,calibration,210.0,210.0,210.0,7.0,7.0,7.0,2,"[16.0, 29.0]",5.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-255__circular-120__inactive,calibration,240.0,240.0,240.0,-5.0,-5.0,-5.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-255__circular-120__rest,calibration,253.0,253.0,253.0,-5.0,-5.0,-5.0,2,"[2.0, 2.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-32__circular-120__inactive,calibration,147.0,147.0,147.0,0.0,0.0,0.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-32__circular-120__rest,calibration,148.0,148.0,148.0,0.0,0.0,0.0,2,"[21.0, 37.0]",7.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-64__circular-120__inactive,calibration,161.0,161.0,161.0,4.0,4.0,4.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-64__circular-120__rest,calibration,164.0,164.0,164.0,5.0,5.0,5.0,2,"[20.0, 35.0]",7.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-96__circular-120__inactive,validation,175.0,175.0,175.0,3.0,3.0,3.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/grey-96__circular-120__rest,validation,179.0,179.0,179.0,8.0,8.0,8.0,2,"[19.0, 33.0]",7.0
apple-macos-27.0-2x-light-standard-glass0.5/magenta__circular-120__inactive,calibration,255.0,124.0,255.0,-17.0,7.0,-17.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/magenta__circular-120__rest,calibration,255.0,127.0,255.0,0.0,36.0,0.0,2,"[15.0, 26.0]",5.0
apple-macos-27.0-2x-light-standard-glass0.5/red__circular-120__inactive,calibration,255.0,129.0,129.0,-5.0,1.0,1.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/red__circular-120__rest,calibration,255.0,133.0,133.0,0.0,32.0,32.0,2,"[17.0, 29.0]",5.0
apple-macos-27.0-2x-light-standard-glass0.5/yellow__circular-120__inactive,calibration,221.0,221.0,72.0,-4.0,-4.0,71.0,2,"[0.0, 0.0]",0.0
apple-macos-27.0-2x-light-standard-glass0.5/yellow__circular-120__rest,calibration,230.0,230.0,81.0,1.0,1.0,90.0,2,"[18.0, 25.0]",5.0
