W23 finding — the rim read at the contour, per pixel, from the committed fixtures and the captures on hand (2026-09-08).
Columns: native = the committed fixture; rim004 / rim018 = W22 G0's fit captures at specularGain 0 and rimAlpha 0.04 / 0.18 (scratch); landed = the canonical web-captures at the 0.11.0 landing (rimAlpha 0.18, specularGain 0).
Rows are encoded luma (Rec.709 luma of the linearised pixels, re-encoded); y/x = 0 is the declared box's first row/column inside the shape.

== apple-macos-26.5-1x-light-standard dark-solid__rrect-md__rest box=(80,52)-(240,148)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= +6   0.8437   0.8480   0.8480   0.8480
  y= +7   0.8416   0.8477   0.8477   0.8477
  y= +8   0.8422   0.8493   0.8493   0.8493
  y= +9   0.8426   0.8488   0.8488   0.8488
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.4170   0.4152   0.4152   0.4152
  x= -3   0.4152   0.4133   0.4133   0.4133
  x= -2   0.4137   0.4137   0.4137   0.4137
  x= -1   0.4118   0.4118   0.4118   0.4118
  x= +0   0.9298   0.9216   0.9529   0.9529
  x= +1   0.9093   0.9137   0.9137   0.9137
  x= +2   0.8838   0.8895   0.8895   0.8895
  x= +3   0.7792   0.7925   0.7925   0.7925
  x= +4   0.7809   0.7765   0.7765   0.7765
  x= +5   0.7823   0.7792   0.7792   0.7792
  x= +6   0.7812   0.7816   0.7816   0.7816
  x= +7   0.7804   0.7836   0.7836   0.7836
  x= +8   0.7815   0.7864   0.7864   0.7864
  x= +9   0.7822   0.7997   0.7997   0.7997

== apple-macos-26.5-1x-light-standard photo__rrect-md__rest box=(80,52)-(240,148)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.3689   0.3624   0.3624   0.3624
  y= -3   0.3680   0.3612   0.3612   0.3612
  y= -2   0.3675   0.3610   0.3610   0.3610
  y= -1   0.3675   0.3611   0.3611   0.3611
  y= +0   0.8847   0.8187   0.8531   0.8531
  y= +1   0.8285   0.8084   0.8084   0.8084
  y= +2   0.8148   0.8083   0.8083   0.8083
  y= +3   0.8141   0.8089   0.8089   0.8089
  y= +4   0.8149   0.8094   0.8094   0.8094
  y= +5   0.8171   0.8109   0.8109   0.8109
  y= +6   0.8188   0.8123   0.8123   0.8123
  y= +7   0.8205   0.8135   0.8135   0.8135
  y= +8   0.8209   0.8137   0.8137   0.8137
  y= +9   0.8219   0.8147   0.8147   0.8147
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.4109   0.4007   0.4007   0.4007
  x= -3   0.4056   0.3952   0.3952   0.3952
  x= -2   0.3985   0.3883   0.3883   0.3883
  x= -1   0.3928   0.3816   0.3816   0.3816
  x= +0   0.9056   0.8286   0.8627   0.8627
  x= +1   0.8492   0.8231   0.8231   0.8231
  x= +2   0.8391   0.8245   0.8245   0.8245
  x= +3   0.8400   0.8256   0.8256   0.8256
  x= +4   0.8392   0.8253   0.8253   0.8253
  x= +5   0.8360   0.8241   0.8241   0.8241
  x= +6   0.8338   0.8219   0.8219   0.8219
