profile,scheme,scale,renderer,scene,backdrop,component,pose,tinted,set,R,twin,ratio2Native,ratio2Web,levelNative,levelWeb,structureNative,structureWeb,rimPeakWeb,rimPeakNative,tintDeltaLWeb,tintChromaDeltaWeb,ssim,deP95,departure,departureNative
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,checkerboard-32__capsule-button__rest-tint-orange,checkerboard-32,capsule-button,active,True,probe,0.7698203547070589,2.617510648395497,9056366.298438841,9392828.017221585,0.44182332939097413,0.4272932570316635,0.025143320767586227,0.00889000067222743,2.3716457138667213e-05,0.029754831853417096,-0.02863542313684586,0.17507521370831788,0.981093046447413,0.011921539853522964,0.0011959156941382546,0.0007153103027153039
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,checkerboard-32__capsule-button__rest-tint-orange,checkerboard-32,capsule-button,active,True,probe,0.7527259434319109,1.2298735910242846,9056366.298438841,9364272.581287907,0.44182332939097413,0.4289762446411286,0.025143320767586227,0.021591258899052793,0.02567717904598732,0.029754831853417096,-0.027823145880236044,0.17440639515592551,0.9970289022647139,0.010941226378728545,0.0006101171289092967,0.0007153103027153039
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,checkerboard-4__capsule-button__rest-tint-orange,checkerboard-4,capsule-button,active,True,probe,1.2465434819397017,4.104633672234677,9027217.118657338,9393076.972603375,0.4425545950405326,0.427511044379517,0.02459388143353796,0.005720453161272664,2.3716457138667213e-05,0.03232219646374673,-0.02851013829718596,0.1750639372725082,0.9869356580711437,0.013690741182409743,0.0012519544066491302,0.0007416228513064244
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,checkerboard-4__capsule-button__rest-tint-orange,checkerboard-4,capsule-button,active,True,probe,0.7629205680538999,1.1157784864256934,9027217.118657338,9363724.83075307,0.4425545950405326,0.42897293580224266,0.02459388143353796,0.022830296027877842,0.02550955205860006,0.03232219646374673,-0.027829250021173202,0.17439120145228856,0.9980626683399438,0.011921539853522964,0.0006090847507509815,0.0007416228513064244
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,checkerboard-64__capsule-button__rest-tint-orange,checkerboard-64,capsule-button,active,True,probe,0.8880498918518297,3.696018430818744,7805143.078895707,8125252.571411352,0.4415659319766319,0.4272591676061129,0.033356558793452874,0.009252451103808105,2.3716457138667213e-05,0.011736918330785828,-0.06794832916049953,0.17507480321315902,0.97610346582289,0.01558887598592761,0.00031959376662825395,0.00019164367943781335
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,checkerboard-64__capsule-button__rest-tint-orange,checkerboard-64,capsule-button,active,True,probe,0.7275377986971331,1.3024939836775586,7805143.078895707,8098634.418030333,0.4415659319766319,0.4266109777426988,0.033356558793452874,0.025274907870987264,0.003639111698884423,0.011736918330785828,-0.0684667606031939,0.17452712460860811,0.9992430819406406,0.01129048679966674,0.0004941738019887192,0.00019164367943781335
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,checkerboard-8__capsule-button__rest-tint-orange,checkerboard-8,capsule-button,active,True,probe,2.6097656636290933,9.499232205505061,9040701.312853593,9393243.24824382,0.4418873916188174,0.4276555439083454,0.02478566866481601,0.002720091862877893,0.0015836637844142132,0.031860422346057626,-0.028427017320371784,0.1750571946896374,0.9852108128148442,0.013393111302814186,0.0009243416677519628,0.0007197339521371155
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,checkerboard-8__capsule-button__rest-tint-orange,checkerboard-8,capsule-button,active,True,probe,0.7518614157140616,1.0969460446026784,9040701.312853593,9363392.080297442,0.4418873916188174,0.4289750655899629,0.02478566866481601,0.023498743441303573,0.025630528509825112,0.031860422346057626,-0.02783089408472139,0.17438111251110533,0.9977813734071672,0.01129048679966674,0.0006070041709243445,0.0007197339521371155
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,checkerboard__capsule-button__inactive-tint-orange,checkerboard,capsule-button,inactive,True,calibration,1.602496990115791e-06,0.0002021089087537643,43832.05376743814,1.3647590158944434,0.284145978722099,0.3182340166919344,0.052885923538931054,0.008698001082987822,1.609823385706477e-15,0.007181676039276497,-0.11107935055480167,-4.140371152462213e-09,0.9756900975630245,0.01305353406447719,0.0006706333844658675,0.0016391685686718614
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,checkerboard__capsule-button__inactive-tint-orange,checkerboard,capsule-button,inactive,True,calibration,1.4411896615200113e-06,3.086969741729989e-05,43832.05376743814,1.3574566844542617,0.284145978722099,0.31735047096163105,0.052885923538931054,0.06298231862861027,0.001239449888819355,0.007181676039276497,-0.11171178046517205,-4.163944462241932e-09,0.9829345355841433,0.020189519465707143,0.0006268985237665223,0.0016391685686718614
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,checkerboard__capsule-button__rest-tint-orange,checkerboard,capsule-button,active,True,calibration,1.0643435857451646,3.5753093475016193,9050816.656389693,9393006.00364113,0.4412923191036625,0.42747126438211697,0.02491484865198677,0.006610272430272848,2.3716457138667213e-05,0.030413527393806483,-0.0285330455118461,0.1750650180525946,0.9824340745636818,0.013234297720453843,0.0010264939412867173,0.0007152676514075568
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,checkerboard__capsule-button__rest-tint-orange,checkerboard,capsule-button,active,True,calibration,0.7537833523408052,1.1408192198048708,9050816.656389693,9363855.031694239,0.4412923191036625,0.42896519553567497,0.02491484865198677,0.02271825428513438,0.025471208216996333,0.030413527393806483,-0.027832263601584084,0.17439582727729566,0.997405457108703,0.01129048679966674,0.0006082931471301476,0.0007152676514075568
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,dark-solid__capsule-button__inactive-tint-orange,dark-solid,capsule-button,inactive,True,calibration,0.786830017321922,0.0012465774977042192,0.8559763809491608,0.00038288603507044273,0.06838485417453809,0.04659787558311408,0.0029291212948820873,0.0008705361298885326,0,0,0.1325703854974223,-0.00382224348724571,0.995102684790093,0.0499105855991995,-5.6052074317914325e-06,2.1587126748132235e-05
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,dark-solid__capsule-button__inactive-tint-orange,dark-solid,capsule-button,inactive,True,calibration,1.5951466728789176,0.005032268609392002,0.8559763809491608,0.0014997312962486155,0.06838485417453809,0.04660029773559412,0.0029291212948820873,0.0008457479273788543,0,0,0.13257680784494283,-0.003818352167690324,0.9951089809432704,0.0499105855991995,-5.52009174174027e-06,2.1587126748132235e-05
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,dark-solid__capsule-button__rest-tint-orange,dark-solid,capsule-button,active,True,calibration,0.7802323397716718,2.7299009025853747,45.16450561862492,45.78690272763353,0.43023993700202284,0.4269992699565129,0.029725194673037324,0.010909520530057464,0,0.013841516374516638,0.53762252228886,0.17126565545727812,0.9759979124682181,0.0025089060629558584,-0.0022505737510730424,-3.118040791685244e-05
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,dark-solid__capsule-button__rest-tint-orange,dark-solid,capsule-button,active,True,calibration,0.7357115274265501,1.3281017444051,45.16450561862492,45.654252585359224,0.43023993700202284,0.4255511771239637,0.029725194673037324,0.022276406037830473,0,0.013841516374516638,0.5366905942114941,0.17082131643722198,0.9994454317990843,0.0025089060629558584,-4.0720283075286766e-05,-3.118040791685244e-05
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,mid-chroma-solid__capsule-button__inactive-tint-orange,mid-chroma-solid,capsule-button,inactive,True,probe,4.267336942359654,0.0029959501620792006,0.8766770507182077,0.0016464481838346396,0.2438845621252724,0.12999378516941978,0.003151190496863728,0.001738572347320197,6.38378239159465e-16,3.608224830031759e-16,-0.1337821590066709,-0.30837227146385965,0.9984263263078531,0.31153710920518995,0.000291821224114021,0.0002973045075880619
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,mid-chroma-solid__capsule-button__inactive-tint-orange,mid-chroma-solid,capsule-button,inactive,True,probe,11.12689618406242,0.012214683006737288,0.8766770507182077,0.002653851212043757,0.2438845621252724,0.1300436962002525,0.003151190496863728,0.0010153907943575569,6.38378239159465e-16,3.608224830031759e-16,-0.13367351179085196,-0.30795365529408,0.9983981507837568,0.31153710920518995,0.00027631648954321616,0.0002973045075880619
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,mid-chroma-solid__capsule-button__inactive,mid-chroma-solid,capsule-button,inactive,False,probe,3.834318509908438,0.5751709642320878,1.0401619361693464,0.47316514633230333,0.2856189861005196,0.07183571667244207,0.004590919118563322,0.0014607545903937075,0.00119677324692255,1.2212453270876722e-15,-0.20643095646520726,-0.16267651618487766,0.9901556481733138,0.3230276968342249,0.0002782148478280805,0.00029191693967428183
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,webgpu,mid-chroma-solid__capsule-button__inactive,mid-chroma-solid,capsule-button,inactive,False,probe,7.1944997205621215,0.336863810769324,1.0401619361693464,0.27765719688471036,0.2856189861005196,0.07612061160349944,0.004590919118563322,0.0013170467633233018,0.001322049136229131,1.2212453270876722e-15,-0.20685239443640685,-0.2229912990652951,0.9964614647624566,0.35975178200208413,0.00027911527349236154,0.00029191693967428183
apple-macos-27.0-1x-dark-standard-glass0.5,dark,1,css,mid-chroma-solid__rrect-lg__inactive,mid-chroma-solid,rrect-lg,inactive,False,probe,4.35034813237205,0.36074872265120606,1.0310767285763638,0.4435814316992966,0.2690511744970345,0.07467073182022674,0.003412222826256978,0.0017578945436662453,0.0012813699277730017,0,-0.20250802874287727,-0.17179277980389587,0.9861175881995423,0.315127190201452,0.022314418484601646,0.002627794894058667
