tier,profile,scene,expectedEncoded,actualEncoded,deltaCodes,gated,withinCode
webgpu,apple-macos-26.5-1x-dark-standard,checkerboard__rrect-md__inactive,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-dark-standard,checkerboard__rrect-md__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-dark-standard,hc-text-28__rrect-lg__rest,0.7081887894832936,0.7081887722015381,-0.000004406847645133105,true,true
webgpu,apple-macos-26.5-1x-dark-standard,hc-text-28__rrect-sm__rest,0.6159999999999999,0.6159999966621399,-8.511542970435215e-7,true,true
webgpu,apple-macos-26.5-1x-dark-standard,hc-text-7__rrect-lg__rest,0.6817829103523825,0.6817829012870789,-0.000002311652422815058,true,true
webgpu,apple-macos-26.5-1x-dark-standard,hc-text-7__rrect-sm__rest,0.6229999999999999,0.622999906539917,-0.00002383232113822853,true,true
webgpu,apple-macos-26.5-1x-dark-standard,impulse__capsule-button__inactive,0.0032840722495894904,0.0032840780913829803,0.0000014896573399293678,true,true
webgpu,apple-macos-26.5-1x-dark-standard,impulse__capsule-button__rest,0.0032840722495894904,0.0032840780913829803,0.0000014896573399293678,true,true
webgpu,apple-macos-26.5-1x-dark-standard,impulse__rrect-lg__inactive,0.0054774511593938275,0.005477449856698513,-3.3218730518917716e-7,true,true
webgpu,apple-macos-26.5-1x-dark-standard,impulse__rrect-lg__rest,0.0054774511593938275,0.005477449856698513,-3.3218730518917716e-7,true,true
webgpu,apple-macos-26.5-1x-dark-standard,impulse__rrect-ml__inactive,0.003422703936109526,0.003422702429816127,-3.8410481675507646e-7,true,true
webgpu,apple-macos-26.5-1x-dark-standard,impulse__rrect-ml__rest,0.003422703936109526,0.003422702429816127,-3.8410481675507646e-7,true,true
webgpu,apple-macos-26.5-1x-dark-standard,impulse__rrect-sm__rest,0.007999999999999998,0.00800001434981823,0.000003659203648967088,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__capsule-button__inactive,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__capsule-button__inactive-pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__capsule-button__inactive-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__capsule-button__pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__capsule-button__rest,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__capsule-button__rest-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__rrect-lg__inactive,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__rrect-lg__rest,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__rrect-md__inactive,0.44739552256259263,0.4473254680633545,-0.017863897305724907,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__rrect-md__rest,0.44739552256259263,0.4473254680633545,-0.017863897305724907,true,true
webgpu,apple-macos-26.5-1x-dark-standard,photo__rrect-ml__inactive,0.44394231566614095,0.4438726305961609,-0.01776969284491614,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,checkerboard__capsule-button__inactive,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,checkerboard__capsule-button__inactive-tint-orange,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,checkerboard__capsule-button__rest,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,checkerboard__capsule-button__rest-tint-orange,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,checkerboard__rrect-md__inactive,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,checkerboard__rrect-md__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,hc-text__capsule-button__inactive,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,hc-text__capsule-button__rest,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__capsule-button__inactive,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__capsule-button__inactive-pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__capsule-button__inactive-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__capsule-button__pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__capsule-button__rest,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
