== dark-lit1-2x / apple-macos-26.5-2x-dark-standard   fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/dark-lit1-2x/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__capsule-button__rest         calibration native  0.0110  0.0256  0.0101  0.0022  0.0101  0.0227  0.0305  0.0333  0.0307  0.0256  0.0101  0.0021  0.0101  0.0227  0.0305  0.0333  0.0307   15.97      NW  0.063
dark-solid__capsule-button__rest         calibration web     0.0117  0.0248  0.0112  0.0029  0.0110  0.0214  0.0262  0.0276  0.0267  0.0248  0.0112  0.0029  0.0110  0.0214  0.0262  0.0276  0.0267    9.68      SE  0.103
checkerboard__capsule-button__rest       calibration native  0.1074  0.4917  0.5929 -0.0412  0.8169  0.8343  0.0600  0.0648  0.2390  0.4607  0.8345  0.8489  0.8572  0.1971  0.2623  0.8661  0.4070     inf      NW -0.048
checkerboard__capsule-button__rest       calibration web     0.0685  0.5362  0.6121 -0.0243  0.8542  0.8658  0.0304  0.0348  0.1898  0.4662  0.8760  0.8875  0.8934  0.1957  0.2531  0.9049  0.4371     inf      NW -0.027
impulse__capsule-button__rest            validation  native  0.0067  0.0191  0.0064  0.0012  0.0065  0.0203  0.0227  0.0231  0.0211  0.0179  0.0064  0.0012  0.0079  0.0194  0.0210  0.0231  0.0211   19.11      SE  0.052
impulse__capsule-button__rest            validation  web     0.0034  0.0245  0.0103  0.0027  0.0102  0.0198  0.0246  0.0259  0.0252  0.0245  0.0103  0.0027  0.0102  0.0198  0.0246  0.0259  0.0252    9.73      SE  0.103
photo__capsule-button__rest              calibration native  0.0966  0.1297  0.1413  0.2799  0.3651  0.3881  0.3388  0.4156  0.3291  0.1327  0.1045  0.0986  0.1060  0.1256  0.1533  0.1499  0.1465    4.21      SE  0.237
photo__capsule-button__rest              calibration web     0.0527  0.1124  0.1646  0.3276  0.4111  0.4320  0.3830  0.4594  0.3705  0.1414  0.1489  0.1425  0.1488  0.1319  0.1376  0.1252  0.1188    4.09      SE  0.245
dark-solid__rrect-md__rest               calibration native  0.0153  0.0328  0.0047  0.0016  0.0059  0.0312  0.0418  0.0408  0.0420  0.0328  0.0047  0.0016  0.0059  0.0312  0.0418  0.0408  0.0420   25.86     NNW  0.039
dark-solid__rrect-md__rest               calibration web     0.0130  0.0360  0.0172  0.0043  0.0172  0.0352  0.0373  0.0424  0.0375  0.0360  0.0170  0.0043  0.0171  0.0352  0.0374  0.0426  0.0377    9.98      NW  0.100
checkerboard__rrect-md__rest             calibration native  0.0475  0.4731  0.8731  0.2652  0.2446  0.4631  0.6696  0.8008  0.7881  0.4358  0.0055  0.0036  0.4389  0.5298  0.8488  0.7291  0.1191  242.02     NNE  0.004
checkerboard__rrect-md__rest             calibration web     0.0478  0.4803  0.8686  0.2781  0.2639  0.4271  0.6680  0.8007  0.7884  0.4383  0.0519  0.0334  0.4487  0.5546  0.8463  0.7155  0.0774   26.04     NNE  0.038
photo__rrect-md__rest                    calibration native  0.0470  0.0928  0.0811  0.1794  0.2355  0.3680  0.2517  0.1858  0.1805  0.1236  0.1394  0.1466  0.1888  0.1032  0.1021  0.1083  0.1078    4.54       E  0.220
photo__rrect-md__rest                    calibration web     0.0391  0.0784  0.0969  0.1836  0.2400  0.3694  0.2269  0.1546  0.1502  0.1255  0.1448  0.1519  0.1931  0.1018  0.0835  0.0968  0.0813    4.71       E  0.212
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.1695  0.0586  0.0165  0.0596  0.1199  0.1523  0.1695  0.1546  0.1695  0.0586  0.0165  0.0596  0.1199  0.1523  0.1695  0.1546   10.28       N  0.097
checkerboard__capsule-button__rest-tint-orange calibration native  0.4345  0.3473  0.3781  0.0115  0.5038  0.5178  0.1630  0.1750  0.2220  0.3315  0.5109  0.5218  0.5301  0.1545  0.2127  0.5390  0.3041   46.81      NW  0.021
checkerboard__capsule-button__rest-tint-orange calibration web     0.4275  0.3081  0.3731  0.0004  0.5163  0.5195  0.0243  0.0288  0.1137  0.2794  0.5212  0.5285  0.5344  0.0792  0.1139  0.5460  0.2381 1397.61      NW  0.001
photo__capsule-button__rest-tint-orange  calibration native  0.4344  0.1498  0.0604  0.0152  0.0656  0.1371  0.1776  0.1972  0.1796  0.1499  0.0603  0.0135  0.0618  0.1254  0.1682  0.1810  0.1683   14.65      SE  0.068
photo__capsule-button__rest-tint-orange  calibration web     0.4274  0.0431  0.0162  0.0026  0.0370  0.0641  0.0617  0.0896  0.0673  0.0421  0.0132  0.0017  0.0137  0.0308  0.0407  0.0450  0.0386   53.87      SE  0.019

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a22f98cf20d905337/packages/calibration/results/2026-09-09-w24-lit-edge/g0/ladder/dark-lit1-2x.json
