== light-lit1-2x / apple-macos-26.5-2x-light-standard   fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/light-lit1-2x/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9666  0.0334  0.0328  0.0328  0.0331  0.0334  0.0331  0.0328  0.0328  0.0334  0.0327  0.0324  0.0331  0.0334  0.0331  0.0328  0.0330    1.03       E  0.971
light-solid__capsule-button__rest        calibration web     0.9723  0.0277  0.0258  0.0003  0.0257  0.0277  0.0277  0.0277  0.0277  0.0277  0.0257  0.0003  0.0257  0.0277  0.0277  0.0277  0.0277   80.42       N  0.012
dark-solid__capsule-button__rest         calibration native  0.0110  0.0256  0.0101  0.0022  0.0101  0.0227  0.0305  0.0333  0.0307  0.0256  0.0101  0.0021  0.0101  0.0227  0.0305  0.0333  0.0307   15.97      NW  0.063
dark-solid__capsule-button__rest         calibration web     0.0117  0.0248  0.0112  0.0029  0.0110  0.0214  0.0262  0.0276  0.0267  0.0248  0.0112  0.0029  0.0110  0.0214  0.0262  0.0276  0.0267    9.68      SE  0.103
checkerboard__capsule-button__rest       calibration native  0.6152  0.2325  0.1755 -0.0967  0.2195  0.2247  0.1368  0.1732  0.2114  0.2473  0.2292  0.2090  0.2370  0.2281  0.2561  0.3017  0.2511     inf      NW -0.320
checkerboard__capsule-button__rest       calibration web     0.6804  0.2621  0.1097 -0.1402  0.1565  0.2038  0.1175  0.1888  0.2135  0.2572  0.2685  0.2037  0.2561  0.2840  0.3052  0.3193  0.3061     inf      NW -0.439
impulse__capsule-button__rest            validation  native  0.0067  0.0191  0.0064  0.0012  0.0065  0.0203  0.0227  0.0231  0.0211  0.0179  0.0064  0.0012  0.0079  0.0194  0.0210  0.0231  0.0211   19.11      SE  0.052
impulse__capsule-button__rest            validation  web     0.0034  0.0245  0.0103  0.0027  0.0102  0.0198  0.0246  0.0259  0.0252  0.0245  0.0103  0.0027  0.0102  0.0198  0.0246  0.0259  0.0252    9.73      SE  0.103
photo__capsule-button__rest              calibration native  0.5772  0.1779  0.1235  0.0960  0.1369  0.1828  0.2128  0.2236  0.2200  0.1763  0.0957  0.0510  0.1066  0.1670  0.2123  0.2079  0.1942    4.38      SE  0.228
photo__capsule-button__rest              calibration web     0.6115  0.2851  0.1384  0.0752  0.1389  0.2456  0.2947  0.3090  0.2998  0.2796  0.0919  0.0161  0.0953  0.2074  0.2648  0.2866  0.2656   19.15      SE  0.052
light-solid__rrect-md__rest              calibration native  0.9344  0.0640  0.0593  0.0563  0.0593  0.0622  0.0611  0.0604  0.0615  0.0638  0.0591  0.0557  0.0593  0.0622  0.0614  0.0607  0.0623    1.15       N  0.870
light-solid__rrect-md__rest              calibration web     0.9318  0.0682  0.0527  0.0067  0.0528  0.0682  0.0682  0.0682  0.0682  0.0682  0.0513  0.0067  0.0518  0.0682  0.0682  0.0682  0.0682   10.23       N  0.098
dark-solid__rrect-md__rest               calibration native  0.4798  0.2470  0.0602  0.0376  0.0692  0.2330  0.2855  0.2838  0.2901  0.2470  0.0606  0.0376  0.0694  0.2330  0.2855  0.2838  0.2896    7.72     SSE  0.130
dark-solid__rrect-md__rest               calibration web     0.4955  0.3314  0.1255  0.0273  0.1280  0.3111  0.2998  0.3461  0.2955  0.3313  0.1255  0.0273  0.1280  0.3111  0.3002  0.3462  0.2959   12.67      NW  0.079
checkerboard__rrect-md__rest             calibration native  0.6800  0.2148  0.2213  0.1005  0.0801  0.2022  0.2275  0.2522  0.2317  0.1967  0.0220  0.0396  0.1140  0.1885  0.2473  0.2678  0.2188   12.17      NW  0.082
checkerboard__rrect-md__rest             calibration web     0.6993  0.2378  0.2021  0.1261  0.1201  0.1740  0.2552  0.2768  0.2677  0.2511  0.1498  0.1695  0.1838  0.2902  0.2920  0.2821  0.2118    2.43     WNW  0.411
impulse__rrect-md__rest                  validation  native  0.4311  0.2673  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083  0.2635  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083    9.10     SSE  0.110
impulse__rrect-md__rest                  validation  web     0.4644  0.3239  0.1228  0.0269  0.1252  0.3038  0.2935  0.3414  0.2891  0.3294  0.1228  0.0279  0.1252  0.3037  0.2931  0.3402  0.2885   12.67      SE  0.079
photo__rrect-md__rest                    calibration native  0.6619  0.1138  0.0713  0.0854  0.0968  0.1432  0.1651  0.1660  0.1683  0.1242  0.0269  0.0230  0.0592  0.1396  0.1538  0.1515  0.1348    7.31     SSE  0.137
photo__rrect-md__rest                    calibration web     0.6563  0.2539  0.1659  0.0987  0.1615  0.2785  0.2702  0.2892  0.2691  0.2605  0.0915  0.0134  0.0983  0.2464  0.2371  0.2681  0.2287   21.60      SE  0.046
light-solid__rrect-ml__rest              calibration native  0.9325  0.0660  0.0575  0.0590  0.0575  0.0639  0.0612  0.0626  0.0618  0.0657  0.0573  0.0586  0.0571  0.0639  0.0619  0.0630  0.0624    1.15       N  0.866
light-solid__rrect-ml__rest              calibration web     0.9316  0.0684  0.0555  0.0046  0.0546  0.0684  0.0684  0.0684  0.0684  0.0683  0.0532  0.0046  0.0532  0.0684  0.0684  0.0684  0.0684   14.96       N  0.067
checkerboard__rrect-ml__rest             calibration native  0.6902  0.1941  0.1640  0.2107  0.1862  0.1899  0.2177  0.1552  0.1984  0.1833  0.1626  0.1509  0.0972  0.1716  0.1337  0.1206  0.1867    2.24     ESE  0.446
checkerboard__rrect-ml__rest             calibration web     0.6993  0.2407  0.2194  0.1671  0.1914  0.2090  0.2919  0.2273  0.2193  0.2540  0.1845  0.0857  0.0799  0.2599  0.2285  0.2301  0.2013    3.65     ESE  0.274
photo__rrect-ml__rest                    calibration native  0.6709  0.1168  0.1107  0.1285  0.1407  0.1488  0.1628  0.1658  0.1704  0.1192  0.0574  0.0613  0.0780  0.1627  0.1430  0.1363  0.1132    2.97     SSE  0.337
photo__rrect-ml__rest                    calibration web     0.6579  0.2523  0.2016  0.1529  0.2183  0.2710  0.2718  0.2706  0.2752  0.2617  0.1041  0.0164  0.0981  0.2299  0.2288  0.2245  0.2238   16.75     SSE  0.060
checkerboard__rrect-sm__rest             calibration native  0.6163  0.2333  0.2141  0.2273  0.2348  0.2133  0.2584  0.2424  0.2319  0.2214  0.2065  0.1958  0.1884  0.2496  0.2499  0.2626  0.2672    1.42     NNW  0.705
checkerboard__rrect-sm__rest             calibration web     0.6798  0.2614  0.2544  0.2135  0.1959  0.2166  0.2564  0.3068  0.3041  0.2531  0.1999  0.1989  0.1985  0.2652  0.2750  0.2954  0.2791    1.57      SE  0.638
photo__rrect-sm__rest                    validation  native  0.5408  0.2004  0.0812  0.0500  0.0805  0.2213  0.2821  0.2746  0.2758  0.2072  0.0615  0.0413  0.0660  0.1680  0.2070  0.2110  0.2197    6.83     ESE  0.146
photo__rrect-sm__rest                    validation  web     0.5867  0.2925  0.1288  0.0173  0.1218  0.2722  0.2936  0.3420  0.2868  0.2930  0.1270  0.0310  0.1183  0.2648  0.2896  0.3036  0.2912   19.71      SE  0.051
