== probe9-base / apple-macos-26.5-1x-light-standard   fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/probe9-base/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-64__rrect-md__rest          calibration native  0.6571  0.2889  0.2413  0.2287  0.2180  0.0608  0.0878  0.1917  0.1753  0.2608  0.1315  0.1398  0.0079  0.0610  0.2335  0.2394  0.2454   36.69       N  0.027
checkerboard-64__rrect-md__rest          calibration web     0.6672  0.2997  0.2618  0.2486  0.2295  0.0481  0.0637  0.2017  0.1868  0.2692  0.1853  0.2003  0.0553  0.0484  0.2282  0.2483  0.2621    6.24       N  0.160
checkerboard-64__rrect-ml__rest          calibration native  0.6760  0.2399  0.2253  0.1991  0.1437  0.0913 -0.0897  0.0482  0.1504  0.1794  0.1495  0.0441 -0.1336  0.0894  0.1455  0.1991  0.2251     inf       N -0.557
checkerboard-64__rrect-ml__rest          calibration web     0.6810  0.2591  0.1921  0.1409  0.0300  0.1115 -0.0788 -0.0431  0.0719  0.2103  0.0719 -0.0464 -0.0789  0.1018  0.0303  0.1409  0.1924     inf       N -0.305
checkerboard-lc16__rrect-sm__rest        calibration native  0.8013  0.1093  0.1191  0.1243  0.1248  0.0953  0.0890  0.0847  0.0904  0.1062  0.0828  0.0784  0.0784  0.1152  0.0291  0.0809  0.0802    4.29     ENE  0.233
checkerboard-lc16__rrect-sm__rest        calibration web     0.8058  0.1361  0.1249  0.1061  0.1061  0.1214  0.0264  0.0482  0.1140  0.1351  0.0739  0.0854  0.0955  0.1314  0.0230  0.0849  0.0817    5.91       N  0.169
checkerboard-lc16__capsule-button__rest  calibration native  0.8964  0.0765  0.0357  0.0145  0.0289  0.0436  0.0301  0.0408  0.0471  0.0748  0.0917  0.0923  0.0955  0.0804  0.0919  0.0981  0.0892    6.75      NW  0.148
checkerboard-lc16__capsule-button__rest  calibration web     0.8059  0.1387  0.0436  0.0314  0.0577  0.0855  0.0189  0.0677  0.0762  0.1392  0.1294  0.1493  0.1427  0.1182  0.1213  0.1512  0.1259    8.02      NW  0.125
checkerboard-lc16__rrect-md__rest        validation  native  0.7891  0.1125  0.0712  0.0665  0.0547  0.0967  0.1100  0.1226  0.1167  0.1084  0.0115  0.0263  0.0474  0.1031  0.1189  0.1120  0.0832   10.63      SE  0.094
checkerboard-lc16__rrect-md__rest        validation  web     0.7997  0.1367  0.1286  0.0923  0.0975  0.0922  0.0786  0.0780  0.0910  0.1350  0.1126  0.1013  0.1047  0.1648  0.1178  0.1024  0.0778    2.12       W  0.472
