=== dpr 1: the shadow the tier samples through its own backdrop ===
scene                                    surf        box  predicted   measured  residual  rampOptics  rampExact   rampErr
light-solid__toolbar-group-wide__rest       1      44x44    -0.0013    -0.0010   -0.0002      0.6272     0.6271   +0.0001
light-solid__toolbar-group-wide__rest       2      44x44    -0.0012    -0.0010   -0.0002      0.6272     0.6271   +0.0001
checkerboard__glass-over-glass__rest        0    220x130    -0.0070    -0.0316   +0.0247      0.8960     0.8973   -0.0013
checkerboard__glass-over-glass__rest        1     120x56    -0.0017    -0.0005   -0.0012      0.7092     0.7108   -0.0016
checkerboard__stack-base__rest              0    220x130    -0.0010    -0.0002   -0.0008      0.8960     0.8973   -0.0013
checkerboard__stack-over__rest              0     120x56    -0.0017    -0.0004   -0.0013      0.7092     0.7108   -0.0016
photo__glass-over-glass__rest               0    220x130    -0.0021    -0.0294   +0.0274      0.8960     0.8973   -0.0013
photo__glass-over-glass__rest               1     120x56    -0.0005    -0.0004   -0.0000      0.7092     0.7108   -0.0016
photo__stack-base__rest                     0    220x130    -0.0003    -0.0001   -0.0002      0.8960     0.8973   -0.0013
photo__stack-over__rest                     0     120x56    -0.0005    -0.0002   -0.0003      0.7092     0.7108   -0.0016
largest residual +0.0274 on photo__glass-over-glass__rest surface 0

