subset,scheme,pose,thickness,predictor,n,uniqueX,rms
all,light,active,thin,gaussian/0,102,23,0.18307019780414707
all,light,active,thin,dilated/0.03125,102,24,0.1796905431255809
all,light,active,thin,gaussian/0.03125,102,23,0.18307019780414707
all,light,active,thin,dilated/0.0625,102,22,0.17977925076590362
all,light,active,thin,gaussian/0.0625,102,24,0.18307019780414707
all,light,active,thin,dilated/0.125,102,24,0.17819083061160504
all,light,active,thin,gaussian/0.125,102,24,0.18301220537702317
all,light,active,thin,dilated/0.25,102,24,0.1779979201388139
all,light,active,thin,gaussian/0.25,102,24,0.1822887900161271
all,light,active,thin,dilated/0.5,102,24,0.1789207074315113
all,light,active,thin,gaussian/0.5,102,24,0.1798513741705525
all,light,active,thin,dilated/1,102,24,0.19109497048395346
all,light,active,thin,gaussian/1,102,24,0.18561753542452622
all,light,inactive,thick,source,42,7,0.1268780833734692
all,light,inactive,thick,body,42,19,0.13374600811746476
all,light,inactive,thick,silhouette,42,19,0.13374606065421907
all,light,inactive,thick,dilated/0,42,19,0.13374606065421907
all,light,inactive,thick,gaussian/0,42,19,0.13374600811746476
all,light,inactive,thick,dilated/0.03125,42,18,0.1336312340667452
all,light,inactive,thick,gaussian/0.03125,42,19,0.13374600804996836
all,light,inactive,thick,dilated/0.0625,42,19,0.1336312340667452
all,light,inactive,thick,gaussian/0.0625,42,19,0.13374600804996836
all,light,inactive,thick,dilated/0.125,42,19,0.13066058200303293
all,light,inactive,thick,gaussian/0.125,42,19,0.13374600804996836
all,light,inactive,thick,dilated/0.25,42,19,0.13068452721135956
all,light,inactive,thick,gaussian/0.25,42,19,0.13363123883856215
all,light,inactive,thick,dilated/0.5,42,17,0.1322718936184882
all,light,inactive,thick,gaussian/0.5,42,19,0.13066056146968608
all,light,inactive,thick,dilated/1,42,13,0.13063874666557682
all,light,inactive,thick,gaussian/1,42,19,0.1304274937570592
all,light,inactive,thin,source,51,6,0.1658015755057582
all,light,inactive,thin,body,51,13,0.1717493626506658
all,light,inactive,thin,silhouette,51,13,0.17174936739647173
all,light,inactive,thin,dilated/0,51,13,0.17174936739647173
all,light,inactive,thin,gaussian/0,51,13,0.1717493626506658
all,light,inactive,thin,dilated/0.03125,51,13,0.17174936726551815
all,light,inactive,thin,gaussian/0.03125,51,13,0.1717493626506658
all,light,inactive,thin,dilated/0.0625,51,13,0.17174936726551815
all,light,inactive,thin,gaussian/0.0625,51,13,0.1717493626506658
all,light,inactive,thin,dilated/0.125,51,13,0.17174936739647173
all,light,inactive,thin,gaussian/0.125,51,13,0.1717493626506658
all,light,inactive,thin,dilated/0.25,51,13,0.17287223876691976
all,light,inactive,thin,gaussian/0.25,51,13,0.17174936726551815
all,light,inactive,thin,dilated/0.5,51,13,0.17287223876691976
all,light,inactive,thin,gaussian/0.5,51,13,0.17174936726551815
all,light,inactive,thin,dilated/1,51,13,0.17313431615512212
all,light,inactive,thin,gaussian/1,51,13,0.17313431615512212
clean-standard,dark,active,thick,source,40,10,0.0022056124389242216
clean-standard,dark,active,thick,body,40,20,0.0029539126786721224
clean-standard,dark,active,thick,silhouette,40,20,0.002401796618910325
clean-standard,dark,active,thick,dilated/0,40,20,0.002401796618910325
clean-standard,dark,active,thick,gaussian/0,40,20,0.0029539126786721224
clean-standard,dark,active,thick,dilated/0.03125,40,19,0.0027250257698148727
clean-standard,dark,active,thick,gaussian/0.03125,40,20,0.0029539126786721224
clean-standard,dark,active,thick,dilated/0.0625,40,20,0.0027218378579580474
clean-standard,dark,active,thick,gaussian/0.0625,40,20,0.0029539126786721224
clean-standard,dark,active,thick,dilated/0.125,40,20,0.002073738117481294
clean-standard,dark,active,thick,gaussian/0.125,40,20,0.002473416717804205
clean-standard,dark,active,thick,dilated/0.25,40,20,0.002089550409762261
clean-standard,dark,active,thick,gaussian/0.25,40,20,0.0020694959996911495
clean-standard,dark,active,thick,dilated/0.5,40,18,0.00217987959046602
clean-standard,dark,active,thick,gaussian/0.5,40,20,0.0021671693900989835
clean-standard,dark,active,thick,dilated/1,40,14,0.0022056124389242216
clean-standard,dark,active,thick,gaussian/1,40,20,0.0021847345366403466
clean-standard,dark,active,thin,source,29,10,0.01653255581354687
clean-standard,dark,active,thin,body,29,15,0.005908818012211999
clean-standard,dark,active,thin,silhouette,29,15,0.008292302895940991
clean-standard,dark,active,thin,dilated/0,29,15,0.008292302895940991
clean-standard,dark,active,thin,gaussian/0,29,15,0.005908818012211999
clean-standard,dark,active,thin,dilated/0.03125,29,16,0.00829159871040997
clean-standard,dark,active,thin,gaussian/0.03125,29,15,0.00590884709071896
clean-standard,dark,active,thin,dilated/0.0625,29,14,0.008292317530739647
clean-standard,dark,active,thin,gaussian/0.0625,29,16,0.00590884709071896
clean-standard,dark,active,thin,dilated/0.125,29,16,0.008292524544392938
clean-standard,dark,active,thin,gaussian/0.125,29,16,0.005908818012211999
clean-standard,dark,active,thin,dilated/0.25,29,16,0.010280108317178266
clean-standard,dark,active,thin,gaussian/0.25,29,16,0.005499203854024257
clean-standard,dark,active,thin,dilated/0.5,29,16,0.012729342793658407
clean-standard,dark,active,thin,gaussian/0.5,29,16,0.008292317530739647
clean-standard,dark,active,thin,dilated/1,29,16,0.016355109542558706
clean-standard,dark,active,thin,gaussian/1,29,16,0.012332794095511045
clean-standard,dark,inactive,thick,source,22,5,0.00293657945677677
clean-standard,dark,inactive,thick,body,22,15,0.002381130662113982
clean-standard,dark,inactive,thick,silhouette,22,15,0.0023811283799119376
clean-standard,dark,inactive,thick,dilated/0,22,15,0.0023811283799119376
clean-standard,dark,inactive,thick,gaussian/0,22,15,0.002381130662113982
clean-standard,dark,inactive,thick,dilated/0.03125,22,14,0.0029364869524149155
clean-standard,dark,inactive,thick,gaussian/0.03125,22,15,0.002381127646070605
clean-standard,dark,inactive,thick,dilated/0.0625,22,15,0.0029364869524149155
clean-standard,dark,inactive,thick,gaussian/0.0625,22,15,0.002381127646070605
clean-standard,dark,inactive,thick,dilated/0.125,22,15,0.00293657945677677
clean-standard,dark,inactive,thick,gaussian/0.125,22,15,0.002381127646070605
clean-standard,dark,inactive,thick,dilated/0.25,22,15,0.00293657945677677
clean-standard,dark,inactive,thick,gaussian/0.25,22,15,0.00293657945677677
clean-standard,dark,inactive,thick,dilated/0.5,22,13,0.00293657945677677
clean-standard,dark,inactive,thick,gaussian/0.5,22,15,0.00293657945677677
clean-standard,dark,inactive,thick,dilated/1,22,9,0.00293657945677677
clean-standard,dark,inactive,thick,gaussian/1,22,15,0.00293657945677677
clean-standard,dark,inactive,thin,source,6,4,0.000284996976416923
clean-standard,dark,inactive,thin,body,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,silhouette,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,dilated/0,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,gaussian/0,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,dilated/0.03125,6,5,0.00040041309623646174
clean-standard,dark,inactive,thin,gaussian/0.03125,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,dilated/0.0625,6,5,0.00040041309623646174
clean-standard,dark,inactive,thin,gaussian/0.0625,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,dilated/0.125,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,gaussian/0.125,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,dilated/0.25,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,gaussian/0.25,6,5,0.00040041309623646174
clean-standard,dark,inactive,thin,dilated/0.5,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,gaussian/0.5,6,5,0.00040041309623646174
clean-standard,dark,inactive,thin,dilated/1,6,5,0.00040041197674773075
clean-standard,dark,inactive,thin,gaussian/1,6,5,0.00040041197674773075
clean-standard,light,active,thick,source,68,12,0.01618652658937923
clean-standard,light,active,thick,body,68,26,0.008331743705666963
clean-standard,light,active,thick,silhouette,68,26,0.008928324096631161
clean-standard,light,active,thick,dilated/0,68,26,0.008928324096631161
clean-standard,light,active,thick,gaussian/0,68,26,0.008331743705666963
clean-standard,light,active,thick,dilated/0.03125,68,25,0.008928361030198641
clean-standard,light,active,thick,gaussian/0.03125,68,26,0.008331712478255683
clean-standard,light,active,thick,dilated/0.0625,68,26,0.008928361495120782
clean-standard,light,active,thick,gaussian/0.0625,68,26,0.008331712478255683
clean-standard,light,active,thick,dilated/0.125,68,26,0.009052688973234219
clean-standard,light,active,thick,gaussian/0.125,68,26,0.00834399561546551
clean-standard,light,active,thick,dilated/0.25,68,26,0.01104086984618266
clean-standard,light,active,thick,gaussian/0.25,68,26,0.009317494876156403
clean-standard,light,active,thick,dilated/0.5,68,24,0.010227875926122607
clean-standard,light,active,thick,gaussian/0.5,68,26,0.009745337209454242
clean-standard,light,active,thick,dilated/1,68,18,0.01592313009963097
clean-standard,light,active,thick,gaussian/1,68,26,0.015880941336324395
clean-standard,light,active,thin,source,50,12,0.08720495872706242
clean-standard,light,active,thin,body,50,19,0.03216984496380897
clean-standard,light,active,thin,silhouette,50,19,0.011413806072943391
clean-standard,light,active,thin,dilated/0,50,19,0.011413806072943391
clean-standard,light,active,thin,gaussian/0,50,19,0.03216984496380897
clean-standard,light,active,thin,dilated/0.03125,50,20,0.013450450320408768
clean-standard,light,active,thin,gaussian/0.03125,50,19,0.032183488145733304
clean-standard,light,active,thin,dilated/0.0625,50,18,0.01510346806338094
clean-standard,light,active,thin,gaussian/0.0625,50,20,0.032183488145733304
clean-standard,light,active,thin,dilated/0.125,50,20,0.015881889136844515
clean-standard,light,active,thin,gaussian/0.125,50,20,0.02662553757068867
clean-standard,light,active,thin,dilated/0.25,50,20,0.015629847787420145
clean-standard,light,active,thin,gaussian/0.25,50,20,0.017696387913476212
clean-standard,light,active,thin,dilated/0.5,50,20,0.03796872273197906
clean-standard,light,active,thin,gaussian/0.5,50,20,0.015555725108344532
clean-standard,light,active,thin,dilated/1,50,20,0.08368895768612292
clean-standard,light,active,thin,gaussian/1,50,20,0.0613186946344418
clean-standard,light,inactive,thick,source,28,7,0.0061158411365831635
clean-standard,light,inactive,thick,body,28,19,0.0013598042646980728
clean-standard,light,inactive,thick,silhouette,28,19,0.001353680667533101
clean-standard,light,inactive,thick,dilated/0,28,19,0.001353680667533101
clean-standard,light,inactive,thick,gaussian/0,28,19,0.0013598042646980728
clean-standard,light,inactive,thick,dilated/0.03125,28,18,0.004868229868010517
clean-standard,light,inactive,thick,gaussian/0.03125,28,19,0.0013597943065703384
clean-standard,light,inactive,thick,dilated/0.0625,28,19,0.004864356690406746
clean-standard,light,inactive,thick,gaussian/0.0625,28,19,0.0013597943065703384
clean-standard,light,inactive,thick,dilated/0.125,28,19,0.004865153407206771
clean-standard,light,inactive,thick,gaussian/0.125,28,19,0.0013597943065703384
clean-standard,light,inactive,thick,dilated/0.25,28,19,0.006112286199261076
clean-standard,light,inactive,thick,gaussian/0.25,28,19,0.004868426341148531
clean-standard,light,inactive,thick,dilated/0.5,28,17,0.006110822491457364
clean-standard,light,inactive,thick,gaussian/0.5,28,19,0.006115265427704137
clean-standard,light,inactive,thick,dilated/1,28,13,0.006114109431627024
clean-standard,light,inactive,thick,gaussian/1,28,19,0.006106929560782627
clean-standard,light,inactive,thin,source,12,6,0.011857522359183106
clean-standard,light,inactive,thin,body,12,9,0.0027584976383874887
clean-standard,light,inactive,thin,silhouette,12,9,0.0027597531554171034
clean-standard,light,inactive,thin,dilated/0,12,9,0.0027597531554171034
clean-standard,light,inactive,thin,gaussian/0,12,9,0.0027584976383874887
clean-standard,light,inactive,thin,dilated/0.03125,12,9,0.0027597532366304025
clean-standard,light,inactive,thin,gaussian/0.03125,12,9,0.0027584976383874887
clean-standard,light,inactive,thin,dilated/0.0625,12,9,0.0027597532366304025
clean-standard,light,inactive,thin,gaussian/0.0625,12,9,0.0027584976383874887
clean-standard,light,inactive,thin,dilated/0.125,12,9,0.0027597531554171034
clean-standard,light,inactive,thin,gaussian/0.125,12,9,0.0027584976383874887
clean-standard,light,inactive,thin,dilated/0.25,12,9,0.0027597531554171034
clean-standard,light,inactive,thin,gaussian/0.25,12,9,0.0027597532366304025
clean-standard,light,inactive,thin,dilated/0.5,12,9,0.0027597531554171034
clean-standard,light,inactive,thin,gaussian/0.5,12,9,0.0027597532366304025
clean-standard,light,inactive,thin,dilated/1,12,9,0.012020968658979217
clean-standard,light,inactive,thin,gaussian/1,12,9,0.012020968658979217
clean-standard-canonical,dark,active,thick,source,40,10,0.0022056124389242216
clean-standard-canonical,dark,active,thick,body,40,20,0.0029539126786721224
clean-standard-canonical,dark,active,thick,silhouette,40,20,0.002401796618910325
clean-standard-canonical,dark,active,thick,dilated/0,40,20,0.002401796618910325
clean-standard-canonical,dark,active,thick,gaussian/0,40,20,0.0029539126786721224
clean-standard-canonical,dark,active,thick,dilated/0.03125,40,19,0.0027250257698148727
clean-standard-canonical,dark,active,thick,gaussian/0.03125,40,20,0.0029539126786721224
clean-standard-canonical,dark,active,thick,dilated/0.0625,40,20,0.0027218378579580474
clean-standard-canonical,dark,active,thick,gaussian/0.0625,40,20,0.0029539126786721224
clean-standard-canonical,dark,active,thick,dilated/0.125,40,20,0.002073738117481294
clean-standard-canonical,dark,active,thick,gaussian/0.125,40,20,0.002473416717804205
clean-standard-canonical,dark,active,thick,dilated/0.25,40,20,0.002089550409762261
clean-standard-canonical,dark,active,thick,gaussian/0.25,40,20,0.0020694959996911495
clean-standard-canonical,dark,active,thick,dilated/0.5,40,18,0.00217987959046602
clean-standard-canonical,dark,active,thick,gaussian/0.5,40,20,0.0021671693900989835
clean-standard-canonical,dark,active,thick,dilated/1,40,14,0.0022056124389242216
clean-standard-canonical,dark,active,thick,gaussian/1,40,20,0.0021847345366403466
clean-standard-canonical,dark,active,thin,source,29,10,0.01653255581354687
clean-standard-canonical,dark,active,thin,body,29,15,0.005908818012211999
clean-standard-canonical,dark,active,thin,silhouette,29,15,0.008292302895940991
clean-standard-canonical,dark,active,thin,dilated/0,29,15,0.008292302895940991
clean-standard-canonical,dark,active,thin,gaussian/0,29,15,0.005908818012211999
clean-standard-canonical,dark,active,thin,dilated/0.03125,29,16,0.00829159871040997
clean-standard-canonical,dark,active,thin,gaussian/0.03125,29,15,0.00590884709071896
clean-standard-canonical,dark,active,thin,dilated/0.0625,29,14,0.008292317530739647
clean-standard-canonical,dark,active,thin,gaussian/0.0625,29,16,0.00590884709071896
clean-standard-canonical,dark,active,thin,dilated/0.125,29,16,0.008292524544392938
clean-standard-canonical,dark,active,thin,gaussian/0.125,29,16,0.005908818012211999
clean-standard-canonical,dark,active,thin,dilated/0.25,29,16,0.010280108317178266
clean-standard-canonical,dark,active,thin,gaussian/0.25,29,16,0.005499203854024257
clean-standard-canonical,dark,active,thin,dilated/0.5,29,16,0.012729342793658407
clean-standard-canonical,dark,active,thin,gaussian/0.5,29,16,0.008292317530739647
clean-standard-canonical,dark,active,thin,dilated/1,29,16,0.016355109542558706
clean-standard-canonical,dark,active,thin,gaussian/1,29,16,0.012332794095511045
clean-standard-canonical,dark,inactive,thick,source,22,5,0.00293657945677677
clean-standard-canonical,dark,inactive,thick,body,22,15,0.002381130662113982
clean-standard-canonical,dark,inactive,thick,silhouette,22,15,0.0023811283799119376
clean-standard-canonical,dark,inactive,thick,dilated/0,22,15,0.0023811283799119376
clean-standard-canonical,dark,inactive,thick,gaussian/0,22,15,0.002381130662113982
clean-standard-canonical,dark,inactive,thick,dilated/0.03125,22,14,0.0029364869524149155
clean-standard-canonical,dark,inactive,thick,gaussian/0.03125,22,15,0.002381127646070605
clean-standard-canonical,dark,inactive,thick,dilated/0.0625,22,15,0.0029364869524149155
clean-standard-canonical,dark,inactive,thick,gaussian/0.0625,22,15,0.002381127646070605
