
## 1x-grid  (apple-macos-26.5-1x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=300        0.06082   0.1900   0.1673   0.1649   0.1613   0.1727   0.0494
NATIVE                                                                    0.1549   0.1424   0.1131   0.0865   0.1481   0.0572

### ssimBand

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.9673   0.8815   0.9317   0.9370   0.7227   0.9910
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=100        0.05272   0.9673   0.8815   0.9347   0.9392   0.7227   0.9910
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=80         0.05258   0.9673   0.8815   0.9344   0.9392   0.7227   0.9910
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=50         0.05254   0.9673   0.8815   0.9340   0.9395   0.7227   0.9910
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=200        0.05288   0.9673   0.8815   0.9348   0.9381   0.7227   0.9910
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=30         0.05229   0.9673   0.8815   0.9329   0.9390   0.7227   0.9910
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=30         0.05156   0.9710   0.8844   0.9310   0.9315   0.7238   0.9909
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=50         0.05204   0.9717   0.8847   0.9318   0.9293   0.7239   0.9909
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=80         0.05256   0.9714   0.8856   0.9317   0.9266   0.7246   0.9909
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=100        0.05274   0.9711   0.8859   0.9313   0.9253   0.7250   0.9909
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=20         0.05241   0.9673   0.8815   0.9317   0.9354   0.7227   0.9910
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=150        0.05309   0.9708   0.8865   0.9309   0.9235   0.7252   0.9909
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=200        0.05321   0.9708   0.8865   0.9309   0.9217   0.7253   0.9909
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=300        0.05329   0.9708   0.8867   0.9311   0.9210   0.7254   0.9909
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=20         0.05166   0.9698   0.8834   0.9288   0.9290   0.7225   0.9909
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=30         0.05153   0.9716   0.8871   0.9249   0.9205   0.7219   0.9908
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=20         0.05125   0.9711   0.8853   0.9232   0.9199   0.7201   0.9908
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=50         0.05264   0.9718   0.8874   0.9234   0.9138   0.7228   0.9908
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=80         0.05396   0.9720   0.8875   0.9215   0.9071   0.7230   0.9908
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=100        0.05438   0.9719   0.8874   0.9208   0.9049   0.7232   0.9908
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=150        0.05487   0.9722   0.8874   0.9188   0.9012   0.7235   0.9908
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=200        0.05508   0.9724   0.8868   0.9179   0.8988   0.7230   0.9907
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=300        0.05527   0.9726   0.8865   0.9179   0.8969   0.7228   0.9907
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=30         0.05459   0.9683   0.8857   0.9153   0.9067   0.7174   0.9906
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=20         0.05264   0.9678   0.8847   0.9154   0.9086   0.7159   0.9906
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=50         0.05687   0.9664   0.8840   0.9105   0.8949   0.7173   0.9905
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=80         0.05862   0.9656   0.8817   0.9060   0.8842   0.7168   0.9904
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=100        0.05929   0.9657   0.8818   0.9043   0.8798   0.7165   0.9904
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=150        0.06008   0.9653   0.8810   0.9010   0.8751   0.7159   0.9904
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=200        0.06040   0.9650   0.8809   0.8989   0.8717   0.7159   0.9903
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=300        0.06082   0.9634   0.8808   0.8984   0.8679   0.7165   0.9903

### ssimInterior

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —     —        —      0.9817   0.9803     —      0.9958
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=100        0.05272     —        —      0.9798   0.9708     —      0.9959
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=80         0.05258     —        —      0.9814   0.9752     —      0.9959
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=50         0.05254     —        —      0.9825   0.9821     —      0.9958
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=200        0.05288     —        —      0.9830   0.9596     —      0.9959
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=30         0.05229     —        —      0.9819   0.9806     —      0.9958
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=30         0.05156     —        —      0.9820   0.9808     —      0.9958
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=50         0.05204     —        —      0.9828   0.9811     —      0.9959
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=80         0.05256     —        —      0.9789   0.9655     —      0.9960
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=100        0.05274     —        —      0.9775   0.9562     —      0.9960
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=20         0.05241     —        —      0.9817   0.9803     —      0.9958
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=150        0.05309     —        —      0.9742   0.9429     —      0.9960
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=200        0.05321     —        —      0.9709   0.9351     —      0.9960
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=300        0.05329     —        —      0.9721   0.9269     —      0.9960
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=20         0.05166     —        —      0.9817   0.9803     —      0.9958
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=30         0.05153     —        —      0.9824   0.9808     —      0.9958
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=20         0.05125     —        —      0.9817   0.9803     —      0.9958
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=50         0.05264     —        —      0.9811   0.9792     —      0.9959
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=80         0.05396     —        —      0.9708   0.9519     —      0.9960
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=100        0.05438     —        —      0.9665   0.9374     —      0.9960
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=150        0.05487     —        —      0.9596   0.9159     —      0.9959
