
## 2x-grid  (apple-macos-26.5-2x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=300        0.07376   0.1929   0.1777   0.1711   0.1646   0.1801   0.0526
NATIVE                                                                    0.1636   0.1552   0.1272   0.1018   0.1581   0.0591

### ssimBand

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.9417   0.8634   0.9315   0.9396   0.7432   0.9928
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=20         0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=40         0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=60         0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=100        0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=200        0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=300        0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=20         0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=40         0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=60         0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=100        0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=200        0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=300        0.06613   0.9663   0.8879   0.9163   0.9205   0.7476   0.9931
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=20         0.06609   0.9663   0.8879   0.9163   0.9158   0.7476   0.9931
