comparator,profile,pose,part,family,space,objective,fitFile,fit,power,angleRadians,worstAbsoluteBin,shellZeroWorstAbsoluteBin,observedBarMaximum,effectiveTolerance,populatedBins,pixels,underpopulatedBins,outcome,domain
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-add,encoded,least-squares,fits.json,176,2.0,0.0,20.0,12.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-add,linear,minimax,fits.json,289,2.0,0.0,68.0,68.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-affine,encoded,minimax,fits.json,225,2.0,0.0,22.0,22.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-affine,linear,minimax,fits.json,337,2.0,0.0,34.0,34.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-even-affine,encoded,least-squares,fits.json,240,8.0,0.0,24.0,24.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-even-affine,linear,minimax,fits.json,353,0.5,0.0,44.0,44.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-multiply,encoded,least-squares,fits.json,192,2.0,0.0,21.0,21.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-multiply,linear,least-squares,fits.json,304,2.0,0.0,33.0,33.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-screen,encoded,least-squares,fits.json,208,2.0,0.0,38.0,38.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,coverage-screen,linear,least-squares,fits.json,320,2.0,0.0,38.0,38.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,even,encoded,least-squares,fits.json,16,0.5,0.0,128.0,121.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,gradient,encoded,least-squares,fits.json,144,2.0,0.0,128.0,87.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,isotropic-even,encoded,minimax,fits.json,33,0.5,0.0,128.0,61.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,isotropic-two-axis,encoded,minimax,fits.json,129,2.0,0.0,128.0,62.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,one-sided-diagonal,encoded,least-squares,fits.json,48,2.0,0.0,128.0,121.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,rotated-axis,encoded,least-squares,fits.json,112,8.0,0.916297857297023,128.0,86.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,shipped-diagonal,encoded,minimax,fits.json,65,2.0,0.0,128.0,61.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,signed-normal,encoded,minimax,fits.json,81,2.0,0.0,128.0,61.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,two-term-even,encoded,least-squares,fits.json,96,4.0,0.0,128.0,85.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,body-forward-affine,encoded,least-squares,fits.json,258,2.0,0.0,47.888888888888886,47.888888888888886,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,body-forward-affine,linear,minimax,fits.json,371,2.0,0.0,39.25,39.25,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,body-forward-even-affine,encoded,least-squares,fits.json,274,2.0,0.0,27.0,14.571428571428571,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,body-forward-even-affine,linear,least-squares,fits.json,386,2.0,0.0,27.25,18.333333333333332,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,colour-gradient,encoded,minimax,fits.json,163,2.0,0.0,124.0,59.861111111111114,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,constant,encoded,minimax,fits.json,3,2.0,0.0,124.0,104.41176470588235,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-add,encoded,least-squares,fits.json,178,2.0,0.0,52.333333333333336,52.333333333333336,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-add,linear,least-squares,fits.json,290,2.0,0.0,52.888888888888886,52.888888888888886,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-affine,encoded,least-squares,fits.json,226,2.0,0.0,45.111111111111114,45.111111111111114,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-affine,linear,minimax,fits.json,339,2.0,0.0,41.75,37.5,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-even-affine,encoded,least-squares,fits.json,242,2.0,0.0,39.25,21.77777777777778,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-even-affine,linear,minimax,fits.json,355,0.5,0.0,41.75,37.5,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-multiply,encoded,least-squares,fits.json,194,2.0,0.0,45.888888888888886,45.888888888888886,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-multiply,linear,minimax,fits.json,307,2.0,0.0,41.75,37.5,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-screen,encoded,least-squares,fits.json,210,2.0,0.0,58.333333333333336,58.333333333333336,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,coverage-screen,linear,least-squares,fits.json,322,2.0,0.0,57.77777777777778,57.77777777777778,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,even,encoded,minimax,fits.json,19,8.0,0.0,124.0,96.17647058823529,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,gradient,encoded,least-squares,fits.json,146,2.0,0.0,124.0,104.82352941176471,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,isotropic-even,encoded,minimax,fits.json,35,8.0,0.0,124.0,98.33333333333333,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,isotropic-two-axis,encoded,least-squares,fits.json,130,0.5,0.0,124.0,94.47058823529412,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,one-sided-diagonal,encoded,least-squares,fits.json,50,2.0,0.0,145.41176470588235,145.41176470588235,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,rotated-axis,encoded,least-squares,fits.json,114,0.5,1.5707963267948966,124.0,93.88235294117646,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,shipped-diagonal,encoded,minimax,fits.json,67,2.0,0.0,124.0,108.17647058823529,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,signed-normal,encoded,minimax,fits.json,83,2.0,0.0,124.0,102.23529411764706,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,arc,two-term-even,encoded,minimax,fits.json,99,0.5,0.0,124.0,96.3529411764706,0.0,1,672,10774,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,body-forward-affine,encoded,least-squares,fits.json,258,2.0,0.0,36.0,13.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,body-forward-affine,linear,least-squares,fits.json,370,2.0,0.0,36.0,11.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,body-forward-even-affine,encoded,least-squares,fits.json,274,2.0,0.0,36.0,4.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,body-forward-even-affine,linear,least-squares,fits.json,386,2.0,0.0,36.0,3.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,colour-gradient,encoded,minimax,fits.json,163,2.0,0.0,118.0,89.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,constant,encoded,least-squares,fits.json,2,2.0,0.0,118.0,83.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-add,encoded,minimax,fits.json,179,2.0,0.0,49.0,2.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-add,linear,least-squares,fits.json,290,2.0,0.0,50.0,32.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-affine,encoded,minimax,fits.json,227,2.0,0.0,49.0,2.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-affine,linear,least-squares,fits.json,338,2.0,0.0,49.0,15.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-even-affine,encoded,minimax,fits.json,243,0.5,0.0,49.0,2.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-even-affine,linear,least-squares,fits.json,354,2.0,0.0,49.0,17.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-multiply,encoded,minimax,fits.json,195,2.0,0.0,49.0,2.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-multiply,linear,least-squares,fits.json,306,2.0,0.0,50.0,15.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-screen,encoded,minimax,fits.json,211,2.0,0.0,49.0,2.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,coverage-screen,linear,minimax,fits.json,323,2.0,0.0,49.0,2.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,even,encoded,least-squares,fits.json,18,4.0,0.0,118.0,92.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,gradient,encoded,least-squares,fits.json,146,2.0,0.0,118.0,92.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,isotropic-even,encoded,least-squares,fits.json,34,4.0,0.0,118.0,91.0,0.0,1,84,4152,0,not closed,all shapes
