== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
photo__rrect-ml__rest                    calibration web     0.6579  0.2521  0.2016  0.1561  0.2187  0.2715  0.2762  0.2749  0.2808  0.2605  0.1031  0.0197  0.0992  0.2304  0.2383  0.2319  0.2367   14.25     SSE  0.070
checkerboard__rrect-sm__rest             calibration native  0.6163  0.2333  0.2141  0.2273  0.2348  0.2133  0.2584  0.2424  0.2319  0.2214  0.2065  0.1958  0.1884  0.2496  0.2499  0.2626  0.2672    1.42     NNW  0.705
checkerboard__rrect-sm__rest             calibration web     0.6798  0.2612  0.2619  0.2135  0.1959  0.2171  0.2512  0.2988  0.3024  0.2530  0.1999  0.1989  0.1985  0.2659  0.2726  0.2944  0.2732    1.54     SSE  0.648
photo__rrect-sm__rest                    validation  native  0.5408  0.2004  0.0812  0.0500  0.0805  0.2213  0.2821  0.2746  0.2758  0.2072  0.0615  0.0413  0.0660  0.1680  0.2070  0.2110  0.2197    6.83     ESE  0.146
photo__rrect-sm__rest                    validation  web     0.5867  0.2926  0.1393  0.0242  0.1319  0.2719  0.2815  0.3258  0.2759  0.2929  0.1371  0.0356  0.1290  0.2652  0.2804  0.2902  0.2813   13.47      SE  0.074
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.1684  0.0641  0.0217  0.0650  0.1203  0.1464  0.1625  0.1491  0.1684  0.0641  0.0217  0.0650  0.1203  0.1464  0.1625  0.1491    7.76       S  0.129
impulse__capsule-button__rest-tint-orange calibration native  0.4243  0.1357  0.0556  0.0131  0.0571  0.1126  0.1531  0.1639  0.1517  0.1357  0.0556  0.0131  0.0571  0.1128  0.1531  0.1639  0.1517   12.48      SE  0.080
impulse__capsule-button__rest-tint-orange calibration web     0.4275  0.1681  0.0636  0.0217  0.0646  0.1170  0.1440  0.1625  0.1458  0.1681  0.0636  0.0217  0.0646  0.1170  0.1440  0.1625  0.1458    7.73       N  0.129
checkerboard__capsule-button__rest-tint-orange calibration native  0.3522  0.3603  0.3741 -0.0046  0.4702  0.4663  0.2218  0.2367  0.2555  0.2896  0.4028  0.4250  0.4496  0.2040  0.2638  0.5163  0.3333     inf      NW -0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.3683  0.3319  0.3633  0.0033  0.4580  0.4496  0.1588  0.1764  0.2109  0.2871  0.3916  0.4129  0.4355  0.1323  0.1654  0.4985  0.2656  152.75      NW  0.007
photo__capsule-button__rest-tint-orange  calibration native  0.3442  0.2060  0.0999  0.0387  0.1150  0.2131  0.2632  0.2855  0.2624  0.2049  0.0923  0.0271  0.0945  0.1890  0.2432  0.2545  0.2383   10.53      SE  0.095
