== apple-macos-26.5-1x-light-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9668  0.0332  0.0330  0.0332  0.0328  0.0332  0.0330  0.0325  0.0330  0.0332  0.0330  0.0325  0.0330  0.0332  0.0328  0.0332  0.0328    1.02       N  0.979
light-solid__capsule-button__rest        calibration web     0.9723  0.0277  0.0180 -0.0017  0.0167  0.0272  0.0269  0.0263  0.0277  0.0276  0.0147 -0.0018  0.0157  0.0272  0.0262  0.0267  0.0260     inf     SSE -0.065
dark-solid__capsule-button__rest         calibration native  0.0110  0.0192  0.0070  0.0019  0.0067  0.0182  0.0189  0.0203  0.0199  0.0192  0.0070  0.0017  0.0064  0.0181  0.0193  0.0208  0.0196   12.38      NW  0.081
dark-solid__capsule-button__rest         calibration web     0.0117  0.0168  0.0081  0.0027  0.0084  0.0172  0.0177  0.0195  0.0183  0.0168  0.0086  0.0026  0.0084  0.0171  0.0176  0.0199  0.0174    7.65      NW  0.131
checkerboard__capsule-button__rest       calibration native  0.6133  0.2275  0.1686 -0.1277  0.2177  0.2090  0.0121  0.1762  0.1806  0.2166  0.2163  0.2119  0.2216  0.2101  0.2255  0.2882  0.2354     inf      NW -0.443
checkerboard__capsule-button__rest       calibration web     0.6745  0.2373  0.1064 -0.1598  0.1614  0.1598  0.0201  0.1577  0.1923  0.2317  0.2265  0.1934  0.2387  0.2251  0.2502  0.3203  0.2689     inf      NW -0.499
impulse__capsule-button__rest            validation  native  0.0066  0.0139  0.0029  0.0002  0.0023  0.0115  0.0099  0.0098  0.0105  0.0129  0.0028  0.0002  0.0026  0.0113  0.0092  0.0099  0.0100   85.88       N  0.012
impulse__capsule-button__rest            validation  web     0.0038  0.0167  0.0066  0.0022  0.0067  0.0154  0.0153  0.0160  0.0157  0.0164  0.0070  0.0022  0.0068  0.0153  0.0151  0.0161  0.0148    7.69       N  0.130
photo__capsule-button__rest              calibration native  0.5766  0.1329  0.0910  0.0810  0.0949  0.1334  0.1277  0.1419  0.1379  0.1311  0.0607  0.0401  0.0584  0.1022  0.0964  0.1123  0.0926    3.54      SE  0.283
photo__capsule-button__rest              calibration web     0.6118  0.1842  0.0851  0.0719  0.0930  0.1763  0.1789  0.2052  0.1839  0.1819  0.0461  0.0152  0.0463  0.1190  0.1211  0.1767  0.1162   13.49      SE  0.074
