== apple-macos-26.5-2x-light-standard / css / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__rrect-md__rest             calibration native  0.6800  0.2148  0.2213  0.1005  0.0801  0.2022  0.2275  0.2522  0.2317  0.1967  0.0220  0.0396  0.1140  0.1885  0.2473  0.2678  0.2188   12.17      NW  0.082
checkerboard__rrect-md__rest             calibration web     0.7068  0.1072  0.2000  0.0088 -0.0316  0.0948  0.0051  0.1828  0.1685  0.0647 -0.1134 -0.1707  0.0863  0.1661  0.2389  0.1886  0.0395     inf     WNW -0.715
impulse__rrect-md__rest                  validation  native  0.4311  0.2673  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083  0.2635  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083    9.10     SSE  0.110
impulse__rrect-md__rest                  validation  web     0.4689  0.1468  0.0963  0.0415  0.0366  0.1296 -0.0138 -0.0181 -0.0139  0.1390  0.0379  0.0403  0.0961  0.1453  0.0799  0.0414  0.0804     inf       N -0.123
photo__rrect-md__rest                    calibration native  0.6619  0.1138  0.0713  0.0854  0.0968  0.1432  0.1651  0.1660  0.1683  0.1242  0.0269  0.0230  0.0592  0.1396  0.1538  0.1515  0.1348    7.31     SSE  0.137
photo__rrect-md__rest                    calibration web     0.6577  0.0519  0.0258  0.0178  0.0560  0.1495  0.0382 -0.0024 -0.0085  0.0717 -0.0055 -0.0040  0.0564  0.0664 -0.0241 -0.0568 -0.0266     inf       E -0.380
light-solid__rrect-ml__rest              calibration native  0.9325  0.0660  0.0575  0.0590  0.0575  0.0639  0.0612  0.0626  0.0618  0.0657  0.0573  0.0586  0.0571  0.0639  0.0619  0.0630  0.0624    1.15       N  0.866
light-solid__rrect-ml__rest              calibration web     0.9331  0.0081  0.0044 -0.0005  0.0001  0.0072 -0.0001 -0.0005 -0.0001  0.0077  0.0003 -0.0005  0.0034  0.0081  0.0019 -0.0005  0.0028     inf       N -0.064
checkerboard__rrect-ml__rest             calibration native  0.6902  0.1941  0.1640  0.2107  0.1862  0.1899  0.2177  0.1552  0.1984  0.1833  0.1626  0.1509  0.0972  0.1716  0.1337  0.1206  0.1867    2.24     ESE  0.446
checkerboard__rrect-ml__rest             calibration web     0.7057  0.1002  0.1071  0.1332  0.0937  0.0834  0.1310 -0.0515  0.0693  0.0653  0.0279  0.1869 -0.0317  0.1464 -0.0548 -0.0946  0.1111     inf      SW -0.506
