== apple-macos-26.5-1x-dark-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-4__rrect-md__rest           calibration web     0.0474  0.4739  0.6970  0.6458  0.6843  0.4622  0.4159  0.4368  0.4096  0.4310  0.6167  0.5741  0.6621  0.4615  0.4551  0.4291  0.4481    1.70     NNE  0.588
checkerboard-4__rrect-ml__rest           calibration native  0.0458  0.4631  0.5136  0.2285  0.5078  0.4536  0.5070  0.6563  0.4726  0.4011  0.4351  0.2117  0.4650  0.4518  0.5258  0.7254  0.5211    3.43      NW  0.292
checkerboard-4__rrect-ml__rest           calibration web     0.0479  0.4758  0.5381  0.2506  0.5416  0.4722  0.5428  0.7024  0.5163  0.4335  0.4859  0.2480  0.5044  0.4707  0.5522  0.7546  0.5485    3.04      NW  0.329
checkerboard-4__rrect-lg__rest           calibration native  0.0468  0.4606  0.4241  0.2037  0.4014  0.4509  0.5461  0.6508  0.5243  0.3891  0.3458  0.1773  0.3762  0.4484  0.5803  0.7326  0.5903    4.13      NW  0.242
checkerboard-4__rrect-lg__rest           calibration web     0.0487  0.4751  0.4571  0.2225  0.4409  0.4703  0.5808  0.6870  0.5692  0.4279  0.4079  0.2088  0.4235  0.4684  0.6062  0.7507  0.6080    3.60      NW  0.278
checkerboard-8__rrect-sm__rest           calibration native  0.1045  0.4749  0.8778  0.8290  0.8001  0.5609  0.7921  0.8105  0.8515  0.4601  0.0365  0.0233  0.3939  0.4145  0.5135  0.0618  0.0968   37.66     NNE  0.027
checkerboard-8__rrect-sm__rest           calibration web     0.0674  0.4783  0.9122  0.9081  0.8337  0.5692  0.8299  0.8973  0.8886  0.4648  0.0583  0.0169  0.4689  0.4557  0.5228  0.0639  0.1019   53.93     NNE  0.019
checkerboard-8__capsule-button__rest     calibration native  0.1036  0.4861  0.1433  0.1689  0.1546  0.7854  0.1332  0.1739  0.2008  0.4753  0.7929  0.7291  0.8113  0.2083  0.8103  0.7892  0.8504    6.39     NNW  0.157
checkerboard-8__capsule-button__rest     calibration web     0.0673  0.5107  0.1365  0.1803  0.1234  0.8069  0.0989  0.1888  0.1797  0.5027  0.8287  0.7576  0.8545  0.2091  0.8512  0.8171  0.8791    8.89     NNW  0.112
checkerboard-8__rrect-md__rest           calibration native  0.0467  0.4618  0.0402  0.2045  0.4179  0.4907  0.4104  0.2222  0.0520  0.4180  0.7822  0.6518  0.6621  0.4499  0.6686  0.7599  0.8672   21.56     NNW  0.046
checkerboard-8__rrect-md__rest           calibration web     0.0475  0.4614  0.0485  0.2054  0.4303  0.4749  0.4228  0.2573  0.0884  0.4187  0.7837  0.6784  0.6623  0.4497  0.6670  0.7682  0.8655   17.83     NNW  0.056
checkerboard-8__rrect-ml__rest           calibration native  0.0470  0.4421  0.5083  0.3525  0.7952  0.4559  0.7562  0.3487  0.4703  0.3835  0.3398  0.4585  0.1884  0.4483  0.2157  0.5185  0.3906    4.22     ENE  0.237
checkerboard-8__rrect-ml__rest           calibration web     0.0479  0.4585  0.5110  0.3755  0.8310  0.4620  0.8002  0.3797  0.4741  0.4180  0.4039  0.5293  0.1995  0.4778  0.2298  0.5701  0.4500    4.16     ENE  0.240
checkerboard-8__rrect-lg__rest           calibration native  0.0478  0.4337  0.2924  0.4291  0.2815  0.4289  0.2622  0.4137  0.2601  0.3674  0.4980  0.3259  0.5393  0.3652  0.5951  0.4249  0.6345    2.44     NNW  0.410
checkerboard-8__rrect-lg__rest           calibration web     0.0487  0.4544  0.3149  0.4463  0.3032  0.4603  0.2933  0.4619  0.3018  0.4093  0.5799  0.3961  0.6029  0.4085  0.6347  0.4726  0.6629    2.26     NNW  0.442
