== apple-macos-26.5-2x-dark-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-4__rrect-md__rest           calibration native  0.0452  0.5043  0.6952  0.7291  0.6830  0.5089  0.4844  0.4285  0.4584  0.4557  0.6284  0.6765  0.6557  0.5082  0.4998  0.4606  0.5074    1.70      NE  0.588
checkerboard-4__rrect-md__rest           calibration web     0.0533  0.4508  0.5603  0.1042  0.0735  0.0285  0.0348  0.0562  0.0345  0.0293  0.0735  0.1037  0.5095  0.4309  0.4923  0.4788  0.4908   19.65     NNE  0.051
checkerboard-4__rrect-ml__rest           calibration native  0.0457  0.4921  0.5246  0.2437  0.4899  0.4946  0.5283  0.7008  0.5120  0.4233  0.4455  0.2160  0.4642  0.4920  0.5584  0.7777  0.5855    3.60      NW  0.278
checkerboard-4__rrect-ml__rest           calibration web     0.0536  0.4546  0.5014  0.1255  0.0753  0.0278  0.0337  0.0542  0.0333  0.0287  0.0747  0.1233  0.4678  0.4359  0.5799  0.8111  0.5995   29.17      NW  0.034
checkerboard-4__rrect-lg__rest           calibration native  0.0467  0.4838  0.4670  0.2198  0.4524  0.4897  0.5655  0.6925  0.5371  0.4065  0.3812  0.1879  0.4221  0.4864  0.5996  0.7777  0.6257    4.14      NW  0.242
checkerboard-4__rrect-lg__rest           calibration web     0.0524  0.4444  0.3930  0.1172  0.0808  0.0266  0.0405  0.0552  0.0404  0.0273  0.0809  0.1171  0.3776  0.4294  0.6200  0.7819  0.6331   29.44      NW  0.034
checkerboard-8__rrect-sm__rest           calibration native  0.1015  0.4919  0.8807  0.8740  0.8389  0.5594  0.8329  0.8614  0.8544  0.4796  0.0377  0.0311  0.5962  0.4653  0.6597  0.1721  0.1498   28.36     NNE  0.035
checkerboard-8__rrect-sm__rest           calibration web     0.0777  0.4648  0.8312  0.1794  0.0688  0.0453  0.0155  0.0406  0.0447  0.0462  0.0061  0.0188  0.1183  0.4246  0.5459  0.0269  0.0155  136.00     NNE  0.007
checkerboard-8__rrect-md__rest           calibration native  0.0448  0.4720  0.0097  0.2095  0.4556  0.5268  0.4851  0.2544  0.0876  0.4245  0.7907  0.7361  0.6556  0.4917  0.6973  0.8220  0.8759   90.75     NNW  0.011
checkerboard-8__rrect-md__rest           calibration web     0.0520  0.4398  0.0467  0.1206  0.0684  0.0284  0.0377  0.0600  0.0196  0.0278  0.0992  0.1371  0.5210  0.4341  0.7030  0.8175  0.8782   44.82     NNW  0.022
checkerboard-8__rrect-ml__rest           calibration native  0.0455  0.4556  0.5148  0.3934  0.7887  0.4887  0.7512  0.3948  0.4886  0.3929  0.3432  0.4691  0.1836  0.4965  0.2514  0.5545  0.4324    4.30     ENE  0.233
