cells 68   absent material axis 4
worst residual +0.000817 on apple-macos-26.5-1x-dark-standard dark-solid__rrect-md__rest; cells over 0.005: 0
profile scene                                     default    whole     lens      rim highlight     lift      sum    resid
2x-light checkerboard__capsule-button__rest-tint-orange   0.3734  +0.0057  -0.0000  +0.0029  +0.0025  +0.0000  +0.0054  +0.0002
2x-light checkerboard__rrect-md__rest               0.7015  +0.0036  -0.0002  +0.0022  +0.0012  +0.0000  +0.0032  +0.0003
2x-light checkerboard__rrect-ml__rest               0.7013  +0.0028  -0.0001  +0.0017  +0.0010  +0.0001  +0.0026  +0.0002
2x-light checkerboard__rrect-sm__rest               0.6880  +0.0106  +0.0001  +0.0063  +0.0040  +0.0000  +0.0104  +0.0002
2x-light checkerboard__toolbar-group__rest          0.6821  +0.0026  +0.0002  +0.0016  +0.0008  +0.0000  +0.0026  +0.0000
2x-light dark-solid__capsule-button__rest-tint-orange   0.4275  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000
2x-light dark-solid__rrect-md__rest                 0.4987  +0.0042  +0.0000  +0.0025  +0.0016  +0.0000  +0.0041  +0.0000
2x-light impulse__capsule-button__rest              0.0033  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000
2x-light impulse__capsule-button__rest-tint-orange   0.4275  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000
2x-light impulse__rrect-md__rest                    0.4672  +0.0045  +0.0006  +0.0024  +0.0016  +0.0000  +0.0046  -0.0000
2x-light light-solid__capsule-button__rest          0.9716  +0.0019  +0.0000  +0.0011  +0.0001  +0.0000  +0.0011  +0.0007
2x-light light-solid__capsule-button__rest-tint-orange   0.4320  +0.0051  +0.0000  +0.0027  +0.0024  +0.0000  +0.0050  +0.0001
2x-light light-solid__rrect-md__rest                0.9324  +0.0022  +0.0000  +0.0013  +0.0003  +0.0001  +0.0016  +0.0006
2x-light light-solid__rrect-ml__rest                0.9322  +0.0017  +0.0000  +0.0009  +0.0002  +0.0001  +0.0012  +0.0005
2x-light photo__capsule-button__rest                0.6178  +0.0059  -0.0002  +0.0031  +0.0028  +0.0000  +0.0058  +0.0002
2x-light photo__capsule-button__rest-tint-blue      0.2031  +0.0061  -0.0000  +0.0032  +0.0028  +0.0000  +0.0060  +0.0001
2x-light photo__capsule-button__rest-tint-orange    0.3595  +0.0058  -0.0001  +0.0030  +0.0026  +0.0000  +0.0056  +0.0002
2x-light photo__capsule-button__rest-tint-orange-half   0.4587  +0.0060  -0.0001  +0.0031  +0.0028  +0.0000  +0.0058  +0.0002
2x-light photo__rrect-md__rest                      0.6603  +0.0077  +0.0036  +0.0024  +0.0016  +0.0000  +0.0076  +0.0001
2x-light photo__rrect-md__rest-tint-orange          0.3671  +0.0049  +0.0007  +0.0025  +0.0015  +0.0000  +0.0047  +0.0001
2x-light photo__rrect-ml__rest                      0.6611  +0.0052  +0.0021  +0.0018  +0.0012  +0.0000  +0.0052  +0.0001
2x-light photo__rrect-sm__rest                      0.5983  +0.0097  -0.0024  +0.0070  +0.0049  +0.0000  +0.0095  +0.0002
2x-light photo__toolbar-group__rest                 0.6374  +0.0055  +0.0028  +0.0017  +0.0009  +0.0000  +0.0054  +0.0001
