bed          scene                                    span  bgLin    bgEnc   authority  farS    codes/unit
w9           hc-text-7__rrect-lg__rest                 160  0.6818  0.8444     1.0000  0.3520      -2.573
w9           hc-text__rrect-sm__rest                    32  0.5110  0.7426     1.0000  0.0000       0.000
w9           hc-text__rrect-md__rest                    96  0.6060  0.8013     1.0000  0.0000       0.000
w9           hc-text__rrect-lg__rest                   160  0.6965  0.8524     1.0000  0.3520      -2.530
w9           hc-text-28__rrect-sm__rest                 32  0.6160  0.8071     1.0000  0.0000       0.000
w9           hc-text-28__rrect-md__rest                 96  0.6728  0.8394     1.0000  0.0000       0.000
w9           light-solid__rrect-sm__rest                32  0.8910  0.9505     1.0000  0.0000       0.000
w9           light-solid__rrect-md__rest                96  0.8910  0.9505     1.0000  0.0000       0.000
w9           light-solid__rrect-lg__rest               160  0.8910  0.9505     1.0000  0.3520      -3.186
w9           dark-solid__rrect-sm__rest                 32  0.0117  0.1104     1.0000  0.0000       0.000
w9           dark-solid__rrect-md__rest                 96  0.0117  0.1104     1.0000  0.0000       0.000
w9           dark-solid__rrect-lg__rest                160  0.0117  0.1104     1.0000  0.3520      43.327
w9           mid-dark-solid__rrect-sm__rest             32  0.0595  0.2706     1.0000  0.0000       0.000
w9           mid-dark-solid__rrect-md__rest             96  0.0595  0.2706     1.0000  0.0000       0.000
w9           mid-dark-solid__rrect-lg__rest            160  0.0595  0.2706     1.0000  0.3520      10.620
w9           photo__rrect-sm__rest                      32  0.1682  0.4470     1.0000  0.0000       0.000
w9           photo__rrect-md__rest                      96  0.2147  0.5008     1.0000  0.0000       0.000
w9           photo__rrect-lg__rest                     160  0.2258  0.5125     1.0000  0.3520      -5.361
w21          checkerboard-4__rrect-sm__rest             32  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard-4__capsule-button__rest       44  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard-4__rrect-md__rest             96  0.5000  0.7354     1.0000  0.0000       0.000
