== apple-macos-26.5-2x-light-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__rrect-md__rest               calibration native  0.4798  0.2470  0.0602  0.0376  0.0692  0.2330  0.2855  0.2838  0.2901  0.2470  0.0606  0.0376  0.0694  0.2330  0.2855  0.2838  0.2896    7.72     SSE  0.130
dark-solid__rrect-md__rest               calibration web     0.5023  0.1476  0.0958  0.0430  0.0379  0.1307 -0.0124 -0.0171 -0.0128  0.1399  0.0393  0.0421  0.0957  0.1461  0.0796  0.0432  0.0800     inf       N -0.116
checkerboard__rrect-md__rest             calibration native  0.6800  0.2148  0.2213  0.1005  0.0801  0.2022  0.2275  0.2522  0.2317  0.1967  0.0220  0.0396  0.1140  0.1885  0.2473  0.2678  0.2188   12.17      NW  0.082
checkerboard__rrect-md__rest             calibration web     0.7068  0.1072  0.2000  0.0088 -0.0316  0.0948  0.0051  0.1828  0.1685  0.0647 -0.1134 -0.1707  0.0863  0.1661  0.2389  0.1886  0.0395     inf     WNW -0.715
impulse__rrect-md__rest                  validation  native  0.4311  0.2673  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083  0.2635  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083    9.10     SSE  0.110
impulse__rrect-md__rest                  validation  web     0.4689  0.1468  0.0963  0.0415  0.0366  0.1296 -0.0138 -0.0181 -0.0139  0.1390  0.0379  0.0403  0.0961  0.1453  0.0799  0.0414  0.0804     inf       N -0.123
photo__rrect-md__rest                    calibration native  0.6619  0.1138  0.0713  0.0854  0.0968  0.1432  0.1651  0.1660  0.1683  0.1242  0.0269  0.0230  0.0592  0.1396  0.1538  0.1515  0.1348    7.31     SSE  0.137
photo__rrect-md__rest                    calibration web     0.6577  0.0519  0.0258  0.0178  0.0560  0.1495  0.0382 -0.0024 -0.0085  0.0717 -0.0055 -0.0040  0.0564  0.0664 -0.0241 -0.0568 -0.0266     inf       E -0.380
hc-text__rrect-md__rest                  holdout     native  0.7337  0.1781  0.2027  0.2110  0.2148  0.2030  0.2226  0.2043  0.1779  0.1623  0.0915  0.0980  0.1195  0.1522  0.1788  0.1651  0.1889    2.43     ESE  0.411
hc-text__rrect-md__rest                  holdout     web     0.7646  0.1450  0.1512 -0.0157  0.0533  0.1180  0.1962  0.1997  0.1772  0.0914  0.0500 -0.0131  0.0983  0.0331  0.1218  0.0001  0.1655     inf      SE -0.079
light-solid__rrect-ml__rest              calibration native  0.9325  0.0660  0.0575  0.0590  0.0575  0.0639  0.0612  0.0626  0.0618  0.0657  0.0573  0.0586  0.0571  0.0639  0.0619  0.0630  0.0624    1.15       N  0.866
light-solid__rrect-ml__rest              calibration web     0.9331  0.0081  0.0044 -0.0005  0.0001  0.0072 -0.0001 -0.0005 -0.0001  0.0077  0.0003 -0.0005  0.0034  0.0081  0.0019 -0.0005  0.0028     inf       N -0.064
checkerboard__rrect-ml__rest             calibration native  0.6902  0.1941  0.1640  0.2107  0.1862  0.1899  0.2177  0.1552  0.1984  0.1833  0.1626  0.1509  0.0972  0.1716  0.1337  0.1206  0.1867    2.24     ESE  0.446
checkerboard__rrect-ml__rest             calibration web     0.7057  0.1002  0.1071  0.1332  0.0937  0.0834  0.1310 -0.0515  0.0693  0.0653  0.0279  0.1869 -0.0317  0.1464 -0.0548 -0.0946  0.1111     inf      SW -0.506
photo__rrect-ml__rest                    calibration native  0.6709  0.1168  0.1107  0.1285  0.1407  0.1488  0.1628  0.1658  0.1704  0.1192  0.0574  0.0613  0.0780  0.1627  0.1430  0.1363  0.1132    2.97     SSE  0.337
photo__rrect-ml__rest                    calibration web     0.6583  0.0495  0.0374  0.0258  0.0832  0.1394  0.0870  0.0387  0.0302  0.0630 -0.0056  0.0060  0.0381  0.0779  0.0123 -0.0252  0.0001     inf       E -0.181
checkerboard__rrect-sm__rest             calibration native  0.6163  0.2333  0.2141  0.2273  0.2348  0.2133  0.2584  0.2424  0.2319  0.2214  0.2065  0.1958  0.1884  0.2496  0.2499  0.2626  0.2672    1.42     NNW  0.705
checkerboard__rrect-sm__rest             calibration web     0.6981  0.1177  0.0489  0.1128  0.1566  0.1548 -0.0211 -0.1848 -0.2405  0.0621  0.2704  0.2710  0.2624  0.1907  0.2094  0.2235  0.2235     inf      SW -0.888
photo__rrect-sm__rest                    validation  native  0.5408  0.2004  0.0812  0.0500  0.0805  0.2213  0.2821  0.2746  0.2758  0.2072  0.0615  0.0413  0.0660  0.1680  0.2070  0.2110  0.2197    6.83     ESE  0.146
photo__rrect-sm__rest                    validation  web     0.6033  0.1031  0.0818  0.0613  0.0493  0.1185  0.0833  0.0665  0.0546  0.0979  0.0492  0.0714  0.1048  0.1147  0.0778  0.0700  0.0846    2.41       E  0.415
checkerboard__rrect-lg__rest             holdout     native  0.7025  0.1834  0.1600  0.1129  0.1155  0.1659  0.1572  0.1951  0.1439  0.1716  0.1264  0.0425  0.1138  0.1716  0.1834  0.1964  0.1882    4.62      NW  0.217
checkerboard__rrect-lg__rest             holdout     web     0.7056  0.0906  0.0522 -0.0082  0.0493  0.0732 -0.1132 -0.0146 -0.1136  0.0673  0.1515  0.0367  0.1611  0.0622  0.0461  0.1239  0.1469     inf     WSW -0.705
photo__rrect-lg__rest                    holdout     native  0.6831  0.1054  0.1014  0.1200  0.1254  0.1383  0.1396  0.1394  0.1432  0.1162  0.0706  0.0523  0.0643  0.1417  0.1635  0.1692  0.1517    3.24      NW  0.309
photo__rrect-lg__rest                    holdout     web     0.6563  0.0513  0.0279  0.0075  0.0098  0.1270  0.0100 -0.0330 -0.0152  0.0603 -0.0014 -0.0112  0.0307  0.1118 -0.0153 -0.0684 -0.0352     inf       E -0.539
mid-dark-solid__capsule-button__rest     holdout     native  0.4398  0.2591  0.1240  0.0493  0.1251  0.2246  0.2877  0.3067  0.2892  0.2587  0.1239  0.0493  0.1251  0.2246  0.2877  0.3067  0.2893    6.23      SE  0.161
mid-dark-solid__capsule-button__rest     holdout     web     0.4717  0.1575  0.1265  0.0987  0.0763  0.0188 -0.0072 -0.0144 -0.0071  0.1442  0.0786  0.0978  0.1264  0.1478  0.1200  0.0982  0.1179     inf       N -0.092
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
