== apple-macos-26.5-2x-light-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__rrect-ml__rest              calibration web     0.9316  0.0684  0.0524 -0.0002  0.0510  0.0684  0.0684  0.0684  0.0684  0.0683  0.0496 -0.0002  0.0496  0.0684  0.0684  0.0684  0.0684     inf       E -0.004
checkerboard__rrect-ml__rest             calibration native  0.6902  0.1941  0.1640  0.2107  0.1862  0.1899  0.2177  0.1552  0.1984  0.1833  0.1626  0.1509  0.0972  0.1716  0.1337  0.1206  0.1867    2.24     ESE  0.446
checkerboard__rrect-ml__rest             calibration web     0.6993  0.2407  0.2150  0.1662  0.1860  0.2090  0.2936  0.2358  0.2295  0.2540  0.1770  0.0834  0.0744  0.2598  0.2359  0.2391  0.2068    3.95     ESE  0.253
photo__rrect-ml__rest                    calibration native  0.6709  0.1168  0.1107  0.1285  0.1407  0.1488  0.1628  0.1658  0.1704  0.1192  0.0574  0.0613  0.0780  0.1627  0.1430  0.1363  0.1132    2.97     SSE  0.337
photo__rrect-ml__rest                    calibration web     0.6579  0.2523  0.1945  0.1471  0.2119  0.2711  0.2768  0.2789  0.2804  0.2616  0.0951  0.0126  0.0887  0.2296  0.2395  0.2385  0.2348   22.23     SSE  0.045
checkerboard__rrect-sm__rest             calibration native  0.6163  0.2333  0.2141  0.2273  0.2348  0.2133  0.2584  0.2424  0.2319  0.2214  0.2065  0.1958  0.1884  0.2496  0.2499  0.2626  0.2672    1.42     NNW  0.705
checkerboard__rrect-sm__rest             calibration web     0.6798  0.2616  0.2485  0.2135  0.1959  0.2164  0.2618  0.3103  0.3048  0.2532  0.1999  0.1989  0.1985  0.2650  0.2787  0.2967  0.2871    1.58      SE  0.631
photo__rrect-sm__rest                    validation  native  0.5408  0.2004  0.0812  0.0500  0.0805  0.2213  0.2821  0.2746  0.2758  0.2072  0.0615  0.0413  0.0660  0.1680  0.2070  0.2110  0.2197    6.83     ESE  0.146
photo__rrect-sm__rest                    validation  web     0.5867  0.2924  0.1193  0.0109  0.1113  0.2722  0.3022  0.3548  0.2967  0.2929  0.1180  0.0281  0.1096  0.2651  0.2982  0.3190  0.3019   32.48      SE  0.031
checkerboard__rrect-lg__rest             holdout     native  0.7025  0.1834  0.1600  0.1129  0.1155  0.1659  0.1572  0.1951  0.1439  0.1716  0.1264  0.0425  0.1138  0.1716  0.1834  0.1964  0.1882    4.62      NW  0.217
checkerboard__rrect-lg__rest             holdout     web     0.6988  0.2440  0.1201  0.0556  0.1430  0.2516  0.1721  0.2696  0.2700  0.2533  0.0924  0.0743  0.2036  0.2316  0.2481  0.2978  0.2953    5.36      NW  0.187
photo__rrect-lg__rest                    holdout     native  0.6831  0.1054  0.1014  0.1200  0.1254  0.1383  0.1396  0.1394  0.1432  0.1162  0.0706  0.0523  0.0643  0.1417  0.1635  0.1692  0.1517    3.24      NW  0.309
photo__rrect-lg__rest                    holdout     web     0.6594  0.2437  0.1923  0.1132  0.1580  0.2698  0.2723  0.2788  0.2737  0.2555  0.0813 -0.0003  0.0877  0.2307  0.2459  0.2621  0.2331     inf      SE -0.001
mid-dark-solid__capsule-button__rest     holdout     native  0.4398  0.2591  0.1240  0.0493  0.1251  0.2246  0.2877  0.3067  0.2892  0.2587  0.1239  0.0493  0.1251  0.2246  0.2877  0.3067  0.2893    6.23      SE  0.161
mid-dark-solid__capsule-button__rest     holdout     web     0.4565  0.3548  0.1131  0.0231  0.1143  0.2585  0.3402  0.3769  0.3470  0.3547  0.1127  0.0231  0.1140  0.2585  0.3411  0.3775  0.3482   16.31      NW  0.061
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.1695  0.0541  0.0133  0.0550  0.1199  0.1585  0.1786  0.1611  0.1695  0.0541  0.0133  0.0550  0.1199  0.1585  0.1786  0.1611   13.42      SE  0.074
impulse__capsule-button__rest-tint-orange calibration native  0.4243  0.1357  0.0556  0.0131  0.0571  0.1126  0.1531  0.1639  0.1517  0.1357  0.0556  0.0131  0.0571  0.1128  0.1531  0.1639  0.1517   12.48      SE  0.080
impulse__capsule-button__rest-tint-orange calibration web     0.4275  0.1692  0.0538  0.0133  0.0547  0.1166  0.1559  0.1787  0.1577  0.1692  0.0538  0.0133  0.0547  0.1166  0.1559  0.1787  0.1577   13.40      SE  0.075
checkerboard__capsule-button__rest-tint-orange calibration native  0.3522  0.3603  0.3741 -0.0046  0.4702  0.4663  0.2218  0.2367  0.2555  0.2896  0.4028  0.4250  0.4496  0.2040  0.2638  0.5163  0.3333     inf      NW -0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.3683  0.3320  0.3568 -0.0143  0.4566  0.4499  0.1711  0.1929  0.2213  0.2872  0.3915  0.4129  0.4355  0.1327  0.1717  0.4985  0.2701     inf      NW -0.029
photo__capsule-button__rest-tint-orange  calibration native  0.3442  0.2060  0.0999  0.0387  0.1150  0.2131  0.2632  0.2855  0.2624  0.2049  0.0923  0.0271  0.0945  0.1890  0.2432  0.2545  0.2383   10.53      SE  0.095
photo__capsule-button__rest-tint-orange  calibration web     0.3538  0.1863  0.0857  0.0275  0.0976  0.1862  0.2215  0.2619  0.2247  0.1879  0.0844  0.0170  0.0860  0.1577  0.1951  0.1975  0.1892   15.39      SE  0.065
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4274  0.4281  0.4252  0.4188  0.4116  0.4019  0.3931  0.3869  0.3869  0.3869  0.3931  0.4019  0.4116  0.4188  0.4253  0.4281    1.11     NNE  0.904
light-solid__capsule-button__rest-tint-orange calibration web     0.4277  0.4221  0.4213  0.4140  0.4087  0.4007  0.3921  0.3896  0.3837  0.3815  0.3837  0.3895  0.3921  0.4007  0.4087  0.4140  0.4213    1.11       N  0.904
photo__capsule-button__rest-tint-blue    calibration native  0.1909  0.2791  0.1410  0.1465  0.2119  0.2810  0.3501  0.3770  0.3505  0.2778  0.1229  0.0414  0.1284  0.2601  0.3416  0.3630  0.3373    9.10      SE  0.110
photo__capsule-button__rest-tint-blue    calibration web     0.1971  0.2223  0.1034  0.1395  0.2064  0.2468  0.2881  0.3391  0.2852  0.2254  0.0924  0.0197  0.0940  0.1906  0.2405  0.2426  0.2338   17.20      SE  0.058
photo__capsule-button__rest-tint-orange-half calibration native  0.4306  0.2062  0.1225  0.0571  0.1370  0.2441  0.2899  0.3090  0.2866  0.2031  0.0978  0.0402  0.1031  0.1863  0.2371  0.2436  0.2270    7.69      SE  0.130
photo__capsule-button__rest-tint-orange-half calibration web     0.4528  0.2450  0.1082  0.0400  0.1153  0.2317  0.2829  0.3015  0.2889  0.2446  0.0930  0.0152  0.0941  0.1982  0.2479  0.2554  0.2421   19.88      SE  0.050
checkerboard__capsule-button__rest-tint-blue validation  native  0.1954  0.4772  0.4883  0.0116  0.6188  0.6201  0.3251  0.3475  0.3640  0.4091  0.5569  0.5818  0.6064  0.2762  0.3624  0.6731  0.4488   57.86      NW  0.017
checkerboard__capsule-button__rest-tint-blue validation  web     0.2051  0.4258  0.4717  0.0035  0.6116  0.6092  0.2263  0.2519  0.2991  0.3955  0.5522  0.5761  0.5987  0.1507  0.2041  0.6618  0.3423  188.22      NW  0.005
photo__rrect-md__rest-tint-orange        validation  native  0.3609  0.1955  0.0384  0.0226  0.0519  0.2102  0.2798  0.2746  0.2715  0.1975  0.0329  0.0158  0.0515  0.1934  0.2472  0.2446  0.2464   17.68     ESE  0.057
photo__rrect-md__rest-tint-orange        validation  web     0.3628  0.1699  0.0833  0.0324  0.0868  0.1706  0.1853  0.1928  0.1730  0.1709  0.0804  0.0172  0.0859  0.1649  0.1634  0.1867  0.1621   11.23      SE  0.089
hc-text__capsule-button__rest-tint-orange holdout     native  0.3609  0.5199  0.5225  0.5076  0.4894  0.2699  0.4306  0.2778  0.4004  0.3921  0.4004  0.1070  0.4195  0.2586  0.4046  0.3841  0.5225    4.88     NNW  0.205
hc-text__capsule-button__rest-tint-orange holdout     web     0.3834  0.4963  0.4941  0.4835  0.4663  0.2302  0.4094  0.2027  0.3817  0.3772  0.3817  0.0959  0.4007  0.2243  0.3737  0.3386  0.4941    5.18       N  0.193
photo__rrect-lg__rest-tint-orange        holdout     native  0.3648  0.1940  0.0446  0.0294  0.0581  0.2059  0.2673  0.2672  0.2652  0.1970  0.0452  0.0228  0.0488  0.1960  0.2528  0.2517  0.2469   11.73     ESE  0.085
photo__rrect-lg__rest-tint-orange        holdout     web     0.3633  0.1711  0.0868  0.0354  0.0865  0.1608  0.1761  0.1788  0.1672  0.1697  0.0830  0.0142  0.0822  0.1680  0.1740  0.1862  0.1689   13.13      NW  0.076
dark-solid__capsule-button__rest-tint-blue holdout     native  0.2352  0.2106  0.0815  0.0171  0.0828  0.1736  0.2392  0.2602  0.2398  0.2106  0.0815  0.0171  0.0828  0.1736  0.2392  0.2602  0.2398   15.20      SE  0.066
dark-solid__capsule-button__rest-tint-blue holdout     web     0.2380  0.2326  0.0789  0.0178  0.0793  0.1734  0.2273  0.2490  0.2322  0.2326  0.0789  0.0178  0.0793  0.1734  0.2273  0.2490  0.2322   13.97      SE  0.072

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-2x-light-standard-webgpu-after-angular.json
