== apple-macos-26.5-1x-dark-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__rrect-md__rest             calibration native  0.0468  0.4622  0.8584  0.2520  0.2520  0.4459  0.6613  0.7831  0.7840  0.4201  0.0085  0.0072  0.3855  0.4813  0.8074  0.6852  0.0587  119.37     NNE  0.008
checkerboard__rrect-md__rest             calibration web     0.0479  0.4414  0.5752  0.0790  0.0255  0.0320  0.0274  0.0476  0.0431  0.0252 -0.0121 -0.0204  0.1214  0.4439  0.7519  0.6885  0.0293     inf     WNW -0.027
photo__rrect-md__rest                    calibration native  0.0466  0.0750  0.0756  0.1714  0.2294  0.3686  0.2443  0.1715  0.1608  0.1240  0.1385  0.1447  0.1907  0.0963  0.0857  0.1082  0.0830    4.92       E  0.203
photo__rrect-md__rest                    calibration web     0.0398  0.0686  0.0506  0.0473  0.0364  0.0457  0.0162  0.0090  0.0087  0.0172  0.0187  0.0453  0.1407  0.0911  0.0526  0.0624  0.0492   16.25     WSW  0.062
photo__rrect-lg__rest                    holdout     native  0.0454  0.0701  0.0938  0.1546  0.1395  0.2806  0.1959  0.1397  0.1493  0.0923  0.1229  0.1197  0.1266  0.2294  0.0912  0.0715  0.0548    5.12       E  0.195
photo__rrect-lg__rest                    holdout     web     0.0404  0.0687  0.0638  0.0513  0.0310  0.0385  0.0185  0.0131  0.0118  0.0114  0.0240  0.0427  0.0822  0.2397  0.0610  0.0354  0.0193   20.95       W  0.048
mid-dark-solid__capsule-button__rest     holdout     native  0.0285  0.0418  0.0311  0.0289  0.0322  0.0442  0.0549  0.0616  0.0554  0.0417  0.0307  0.0291  0.0316  0.0438  0.0569  0.0624  0.0544    2.16      NW  0.464
mid-dark-solid__capsule-button__rest     holdout     web     0.0307  0.0271  0.0212  0.0148  0.0123  0.0018  0.0030  0.0016  0.0020  0.0145  0.0110  0.0152  0.0210  0.0271  0.0270  0.0269  0.0271   16.73       W  0.060
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.0859  0.0249  0.0077  0.0181  0.0460  0.0486  0.0815  0.0558  0.0860  0.0243  0.0075  0.0186  0.0455  0.0472  0.0854  0.0530   11.41       S  0.088
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.0316  0.0177  0.0226  0.0208  0.0038  0.0040  0.0011  0.0043  0.0302  0.0199  0.0233  0.0177  0.0193  0.0200  0.0259  0.0204   29.84       N  0.034
checkerboard__capsule-button__rest-tint-orange calibration native  0.4343  0.3239  0.3796  0.0056  0.4817  0.5020  0.0501  0.0862  0.1453  0.3073  0.4671  0.5113  0.5164  0.1023  0.1232  0.5248  0.2338   93.49      NW  0.011
checkerboard__capsule-button__rest-tint-orange calibration web     0.4275  0.2790  0.2444  0.0089  0.0079  0.0013  0.0013  0.0003  0.0014  0.0117  0.0075  0.0206  0.2683  0.0384  0.0693  0.5445  0.1957 1987.75      NW  0.001
photo__capsule-button__rest-tint-orange  calibration native  0.4343  0.1041  0.0270  0.0108  0.0332  0.1000  0.1018  0.1280  0.1093  0.1036  0.0247  0.0084  0.0206  0.0655  0.0626  0.0951  0.0650   15.30      SE  0.065
photo__capsule-button__rest-tint-orange  calibration web     0.4275  0.0092  0.0045  0.0061  0.0055  0.0006  0.0009  0.0003  0.0010  0.0088  0.0053  0.0062  0.0046  0.0052  0.0053  0.0072  0.0053   28.27       N  0.035

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-1x-dark-standard-css-after-angular.json
