== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__rrect-ml__rest              calibration web     0.9317  0.0683  0.0678  0.0679  0.0680  0.0683  0.0678  0.0674  0.0678  0.0683  0.0676  0.0673  0.0676  0.0683  0.0680  0.0681  0.0680    1.02       E  0.984
checkerboard__rrect-ml__rest             calibration native  0.6902  0.1941  0.1640  0.2107  0.1862  0.1899  0.2177  0.1552  0.1984  0.1833  0.1626  0.1509  0.0972  0.1716  0.1337  0.1206  0.1867    2.24     ESE  0.446
checkerboard__rrect-ml__rest             calibration web     0.6993  0.2405  0.2744  0.2740  0.2615  0.2097  0.2648  0.1658  0.1592  0.2535  0.2589  0.2374  0.1571  0.2591  0.1761  0.1635  0.1538    1.78     NNE  0.561
photo__rrect-ml__rest                    calibration native  0.6709  0.1168  0.1107  0.1285  0.1407  0.1488  0.1628  0.1658  0.1704  0.1192  0.0574  0.0613  0.0780  0.1627  0.1430  0.1363  0.1132    2.97     SSE  0.337
photo__rrect-ml__rest                    calibration web     0.6579  0.2520  0.2548  0.2518  0.2592  0.2705  0.2342  0.2095  0.2342  0.2619  0.1931  0.1665  0.1897  0.2299  0.1664  0.1392  0.1615    1.94       E  0.515
checkerboard__rrect-sm__rest             calibration native  0.6163  0.2333  0.2141  0.2273  0.2348  0.2133  0.2584  0.2424  0.2319  0.2214  0.2065  0.1958  0.1884  0.2496  0.2499  0.2626  0.2672    1.42     NNW  0.705
checkerboard__rrect-sm__rest             calibration web     0.6798  0.2606  0.3009  0.2663  0.2160  0.2184  0.2121  0.2471  0.2934  0.2528  0.2059  0.2282  0.2409  0.2685  0.2580  0.2365  0.2299    1.46     NNE  0.684
photo__rrect-sm__rest                    validation  native  0.5408  0.2004  0.0812  0.0500  0.0805  0.2213  0.2821  0.2746  0.2758  0.2072  0.0615  0.0413  0.0660  0.1680  0.2070  0.2110  0.2197    6.83     ESE  0.146
photo__rrect-sm__rest                    validation  web     0.5867  0.2926  0.2300  0.2133  0.2241  0.2720  0.2255  0.2347  0.2229  0.2929  0.2200  0.2131  0.2139  0.2657  0.2311  0.2179  0.2314    1.37       S  0.728
checkerboard__rrect-lg__rest             holdout     native  0.7025  0.1834  0.1600  0.1129  0.1155  0.1659  0.1572  0.1951  0.1439  0.1716  0.1264  0.0425  0.1138  0.1716  0.1834  0.1964  0.1882    4.62      NW  0.217
