== apple-macos-26.5-1x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9668  0.0332  0.0330  0.0332  0.0328  0.0332  0.0330  0.0325  0.0330  0.0332  0.0330  0.0325  0.0330  0.0332  0.0328  0.0332  0.0328    1.02       N  0.979
light-solid__capsule-button__rest        calibration web     0.9724  0.0276  0.0256  0.0256  0.0259  0.0276  0.0268  0.0259  0.0276  0.0276  0.0276  0.0259  0.0268  0.0276  0.0259  0.0256  0.0256    1.08       N  0.929
dark-solid__capsule-button__rest         calibration native  0.0110  0.0192  0.0070  0.0019  0.0067  0.0182  0.0189  0.0203  0.0199  0.0192  0.0070  0.0017  0.0064  0.0181  0.0193  0.0208  0.0196   12.38      NW  0.081
dark-solid__capsule-button__rest         calibration web     0.0118  0.0168  0.0134  0.0150  0.0140  0.0173  0.0141  0.0147  0.0144  0.0168  0.0144  0.0147  0.0141  0.0173  0.0140  0.0150  0.0137    1.29       E  0.778
checkerboard__capsule-button__rest       calibration native  0.6133  0.2275  0.1686 -0.1277  0.2177  0.2090  0.0121  0.1762  0.1806  0.2166  0.2163  0.2119  0.2216  0.2101  0.2255  0.2882  0.2354     inf      NW -0.443
checkerboard__capsule-button__rest       calibration web     0.6743  0.2363  0.1447 -0.0318  0.1928  0.1565  0.0137  0.1507  0.1807  0.2305  0.2672  0.2841  0.2876  0.2249  0.2340  0.2988  0.2495     inf      NW -0.106
impulse__capsule-button__rest            validation  native  0.0066  0.0139  0.0029  0.0002  0.0023  0.0115  0.0099  0.0098  0.0105  0.0129  0.0028  0.0002  0.0026  0.0113  0.0092  0.0099  0.0100   85.88       N  0.012
impulse__capsule-button__rest            validation  web     0.0037  0.0165  0.0115  0.0119  0.0118  0.0154  0.0120  0.0119  0.0123  0.0165  0.0123  0.0119  0.0120  0.0154  0.0118  0.0119  0.0116    1.43       S  0.698
photo__capsule-button__rest              calibration native  0.5766  0.1329  0.0910  0.0810  0.0949  0.1334  0.1277  0.1419  0.1379  0.1311  0.0607  0.0401  0.0584  0.1022  0.0964  0.1123  0.0926    3.54      SE  0.283
photo__capsule-button__rest              calibration web     0.6119  0.1838  0.1262  0.1659  0.1448  0.1773  0.1403  0.1580  0.1423  0.1818  0.0896  0.1211  0.0913  0.1185  0.0867  0.1260  0.0840    2.19       N  0.457
hc-text__capsule-button__rest            holdout     native  0.6576  0.2226  0.2249  0.2126  0.1979  0.0614  0.1822  0.1616  0.2041  0.1752  0.1621  0.1566  0.1442  0.0500  0.1630  0.1914  0.2277    4.55     NNW  0.220
hc-text__capsule-button__rest            holdout     web     0.7491  0.1495  0.1748  0.1859  0.1393  0.0154  0.1282  0.1409  0.1764  0.1512  0.1722  0.1276  0.1267  0.0090  0.1308  0.1604  0.1695   20.65      NE  0.048
light-solid__rrect-md__rest              calibration native  0.9345  0.0634  0.0570  0.0610  0.0573  0.0608  0.0578  0.0609  0.0561  0.0629  0.0538  0.0609  0.0550  0.0608  0.0594  0.0604  0.0597    1.18       N  0.849
light-solid__rrect-md__rest              calibration web     0.9318  0.0678  0.0605  0.0612  0.0614  0.0665  0.0558  0.0579  0.0575  0.0670  0.0586  0.0599  0.0575  0.0667  0.0614  0.0625  0.0591    1.22       N  0.823
dark-solid__rrect-md__rest               calibration native  0.4798  0.1888  0.0360  0.0366  0.0381  0.1671  0.1259  0.1274  0.1258  0.1892  0.0347  0.0370  0.0362  0.1675  0.1269  0.1222  0.1281    5.46       S  0.183
dark-solid__rrect-md__rest               calibration web     0.4955  0.2091  0.1355  0.0926  0.1355  0.1909  0.1355  0.0912  0.1344  0.2098  0.1416  0.0971  0.1350  0.1911  0.1355  0.0899  0.1355    2.33       S  0.429
checkerboard__rrect-md__rest             calibration native  0.6792  0.1935  0.2195  0.1315  0.1085  0.1475  0.1788  0.2052  0.1916  0.1621 -0.0078  0.0563  0.1286  0.1683  0.2139  0.2264  0.1385     inf      NW -0.034
checkerboard__rrect-md__rest             calibration web     0.6929  0.2059  0.2486  0.1676  0.1516  0.1284  0.1393  0.2119  0.1778  0.1702  0.1676  0.1661  0.1768  0.2568  0.2364  0.2344  0.1296    2.00       W  0.500
impulse__rrect-md__rest                  validation  native  0.4311  0.2003  0.0329  0.0319  0.0372  0.1749  0.1309  0.1333  0.1307  0.2009  0.0317  0.0323  0.0351  0.1753  0.1322  0.1275  0.1327    6.35       S  0.158
impulse__rrect-md__rest                  validation  web     0.4642  0.2100  0.1363  0.0914  0.1363  0.1904  0.1363  0.0903  0.1350  0.2146  0.1422  0.0960  0.1357  0.1909  0.1363  0.0886  0.1363    2.42       S  0.413
photo__rrect-md__rest                    calibration native  0.6610  0.0959  0.0770  0.0918  0.0953  0.1311  0.1453  0.1532  0.1416  0.1074  0.0246  0.0307  0.0337  0.1003  0.0629  0.0678  0.0520    6.23      SE  0.160
photo__rrect-md__rest                    calibration web     0.6555  0.1587  0.1682  0.1409  0.1658  0.1917  0.1633  0.1375  0.1680  0.1703  0.1081  0.0703  0.1106  0.1506  0.1032  0.0587  0.0961    3.27       E  0.306
hc-text__rrect-md__rest                  holdout     native  0.7288  0.1797  0.1991  0.2059  0.2010  0.1879  0.2040  0.1885  0.1859  0.1308  0.1093  0.1089  0.1354  0.1352  0.1610  0.1301  0.1881    1.89      NE  0.529
hc-text__rrect-md__rest                  holdout     web     0.7440  0.2351  0.2466  0.1890  0.2356  0.1403  0.2243  0.2343  0.2362  0.2251  0.1929  0.1456  0.2105  0.1068  0.2208  0.1267  0.2207    2.31     NNE  0.433
light-solid__rrect-ml__rest              calibration native  0.9326  0.0651  0.0573  0.0631  0.0571  0.0621  0.0586  0.0609  0.0578  0.0648  0.0556  0.0601  0.0566  0.0621  0.0589  0.0623  0.0596    1.17       N  0.854
light-solid__rrect-ml__rest              calibration web     0.9317  0.0675  0.0595  0.0603  0.0609  0.0658  0.0595  0.0549  0.0596  0.0667  0.0583  0.0535  0.0607  0.0659  0.0619  0.0603  0.0599    1.26       N  0.792
checkerboard__rrect-ml__rest             calibration native  0.6906  0.1691  0.1616  0.1907  0.1773  0.1551  0.1831  0.0668  0.1202  0.1481  0.1167  0.1198  0.1226  0.1406  0.0529  0.0760  0.1439    3.61      NE  0.277
checkerboard__rrect-ml__rest             calibration web     0.6932  0.2012  0.2279  0.2540  0.2231  0.1500  0.2219  0.1272  0.1257  0.1706  0.1848  0.2035  0.0718  0.2086  0.1316  0.1317  0.1191    3.54      NE  0.283
photo__rrect-ml__rest                    calibration native  0.6707  0.0971  0.1276  0.1470  0.1462  0.1473  0.1309  0.1321  0.1257  0.1058  0.0485  0.0561  0.0577  0.1192  0.0376  0.0263  0.0086   17.04       E  0.059
photo__rrect-ml__rest                    calibration web     0.6578  0.1566  0.1662  0.2027  0.1951  0.2353  0.1434  0.1437  0.1331  0.1776  0.0789  0.0872  0.0754  0.1354  0.0530  0.0568  0.0440    5.34       E  0.187
checkerboard__rrect-sm__rest             calibration native  0.6149  0.2443  0.2104  0.2012  0.2160  0.1942  0.2000  0.1145  0.1346  0.1985  0.1951  0.1921  0.1921  0.2163  0.2307  0.2540  0.2673    2.33     NNW  0.428
checkerboard__rrect-sm__rest             calibration web     0.6731  0.2458  0.2445  0.2220  0.2185  0.1802  0.1359  0.0773  0.2178  0.2260  0.2034  0.2280  0.2291  0.1936  0.1980  0.2476  0.2424    3.20      NW  0.312
photo__rrect-sm__rest                    validation  native  0.5411  0.1626  0.0431  0.0395  0.0425  0.1767  0.1480  0.1356  0.1519  0.1669  0.0410  0.0437  0.0431  0.1339  0.1030  0.0941  0.1150    4.48       E  0.223
photo__rrect-sm__rest                    validation  web     0.5889  0.1964  0.1009  0.0587  0.0876  0.1883  0.1082  0.0865  0.1139  0.1975  0.1006  0.0647  0.0993  0.1855  0.1008  0.0662  0.1086    3.36       S  0.297
